code,name_en,name_short_en,name_es,name_short_es,continent_code,total_export
NRU,Nauru,Nauru,Nauru,Nauru,3,32195.56836
NZL,New Zealand,New Zealand,Nueva Zelandia,Nueva Zelandia,3,657950144
OMN,Oman,Oman,Oman (Sultanato De),Oman,2,99836272
PAK,Pakistan,Pakistan,Pakistan (Republica Islamica De),Pakistan,2,211093840
PAN,Panama,Panama,Panama (Republica De),Panama ,7,8243361280
PCN,Pitcairn,Pitcairn,Pitcairns (Islas Dependencia Britanica),Pitcairns (Islas Dependencia Britanica),3,2589.787598
PER,Peru,Peru,Peru (Republica Del),Peru,6,9904707584
PHL,Philippines,Philippines,Filipinas (Republica De Las),Filipinas,2,642421696
PIK,Pacific Islands,Pacific Islands,"Pacifico, Islas Del (Admon. E.U.A.)","Pacifico, Islas Del (Admon. E.U.A.)",3,853676.125
PLW,Palau,Palau,Palau (Republica De),Palau ,3,58926.59766
PNG,Papua New Guinea,Papua New Guinea,Papua Nueva Guinea (Estado Independiente De),Papua Nueva Guinea,3,13592172
POL,Poland,Poland,Polonia (Republica De),Polonia ,4,1071073216
PRI,Puerto Rico,Puerto Rico,Puerto Rico (Estado Libre Asociado De La Comunidad De),Puerto Rico,8,3155271424
PRK,Korea (Democratic People's Republic of),North Korea,Corea (Republica Popular Democratica De) (Corea Del Norte),Corea Del Norte,2,167106992
PRT,Portugal,Portugal,Portugal (Republica Portuguesa),Portugal,4,2500043264
PRY,Paraguay,Paraguay,Paraguay (Republica Del),Paraguay,6,846351680
PSE,"Palestine, State of",Palestine,Palestina,Palestina,2,4163146.25
PTY,Panama Canal Zone,Panama Canal Zone,Zona Del Canal De Panama,Zona Del Canal De Panama,7,2832135.75
PYF,French Polynesia,French Polynesia,Polinesia Francesa,Polinesia Francesa,3,1947255.625
QAT,Qatar,Qatar,Qatar (Estado De),Qatar,2,209133472
REU,Réunion,Réunion,Reunion (Departamento De La) (Francia),Reunion,1,561800.0625
RKE,Channel Islands,Channel Islands,"Canal, Islas Del (Islas Normandas)","Canal, Islas Del (Islas Normandas)",4,760624.3125
ROM,Romania,Romania,Rumania,Rumania,4,2571209216
RUH,Saudi–Iraqi neutral zone,Saudi–Iraqi neutral zone,Zona Neutral Iraq-Arabia Saudita,Zona Neutral Iraq-Arabia Saudita,2,1219612.375
RUS,Russian Federation,Russian Federation,Rusia (Federacion Rusa),Rusia,4,2254162944
RWA,Rwanda,Rwanda,Republica Ruandesa,Republica Ruandesa,1,634035.8125
SAU,Saudi Arabia,Saudi Arabia,Arabia Saudita (Reino De),Arabia Saudita,2,1986012032
SDN,Sudan,Sudan,Sudan (Republica Del),Sudan,1,14629827
SEN,Senegal,Senegal,Senegal (Republica Del),Senegal,1,5341517
SGP,Singapore,Singapore,Singapur (Republica De),Singapur ,2,4905588224
SHN,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",Santa Elena,Santa Elena,1,6404.461914
SJM,Svalbard and Jan Mayen,Svalbard and Jan Mayen,Islas Svalbard Y Jan Mayen (Noruega),Islas Svalbard Y Jan Mayen,4,11328
SLB,Solomon Islands,Solomon Islands,Islas Salomon (Comunidad Britanica De Naciones),Islas Salomon,3,49025372
SLE,Sierra Leone,Sierra Leone,Sierra Leona (Republica De),Sierra Leona ,1,2643680.75
SLV,El Salvador,El Salvador,El Salvador (Republica De),El Salvador ,7,6267073024
SMR,San Marino,San Marino,San Marino (Serenisima Republica De),San Marino,4,208162.7969
SOM,Somalia,Somalia,Somalia,Somalia,1,305948.5938
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon,San Pedro Y Miquelon,San Pedro y Miquelon,5,54598.42969
SRB,Serbia,Serbia,Republica De Serbia, Serbia,4,6915062
STP,Sao Tome and Principe,Sao Tome and Principe,Santo Tome Y Principe (Republica Democratica De),Santo Tome y Principe,1,436455.375
SUR,Suriname,Suriname,Suriname (Republica De),Suriname ,6,103397552
SVK,Slovakia,Slovakia,Republica Eslovaca,Republica Eslovaca,4,154752432
