code	level	name_en	name_short_en	name_es	name_short_es
5611	class	Business administration services	Business administration services	Servicios de administracion de negocios	Servicios de administracion de negocios
5612	class	Facilities support services	Facilities support services	Servicios combinados de apoyo en instalaciones	Servicios combinados de apoyo en instalaciones
5613	class	Employment services	Employment services	Servicios de empleo	Servicios de empleo
5614	class	Secretarial support, photocopying, collection, credit investigation and similar services	Secretarial support, photocopying, collection, credit investigation and similar services	Servicio de apoyo secretarial, fotocopiado, cobranza, investigacion crediticia y similares	Servicio de apoyo secretarial, fotocopiado, cobranza, investigacion crediticia y similares
5615	class	Travel agencies and reservation services	Travel agencies and reservation services	Agencias de viajes y servicios de reservaciones	Agencias de viajes y servicios de reservaciones
5616	class	Investigation, protection and security services	Investigation, protection and security services	Servicios de investigacion, proteccion y seguridad	Servicios de investigacion, proteccion y seguridad
5617	class	Cleaning services	Cleaning services	Servicios de limpieza	Servicios de limpieza
5619	class	Other business support services	Other business support services	Otros servicios de apoyo a los negocios	Otros servicios de apoyo a los negocios
5621	class	Waste management and remediation services	Waste management and remediation services	Manejo de desechos y servicios de remediacion	Manejo de desechos y servicios de remediacion
6111	class	Basic, middle and special needs education schools	Basic, middle and special needs education schools	Escuelas de educacion basica, media y para necesidades especiales	Escuelas de educacion basica, media y para necesidades especiales
6112	class	Higher technical education schools	Higher technical education schools	Escuelas de educacion postbachillerato	Escuelas de educacion postbachillerato
6113	class	Higher education schools	Higher education schools	Escuelas de educacion superior	Escuelas de educacion superior
6114	class	Business, computer and management training schools	Business, computer and management training schools	Escuelas comerciales, de computacion y de capacitacion para ejecutivos	Escuelas comerciales, de computacion y de capacitacion para ejecutivos
6115	class	Trade schools	Trade schools	Escuelas de oficios	Escuelas de oficios
6116	class	Other educational services	Other educational services	Otros servicios educativos	Otros servicios educativos
6117	class	Educational support services	Educational support services	Servicios de apoyo a la educacion	Servicios de apoyo a la educacion
6211	class	Medical doctors offices	Medical doctors offices	Consultorios medicos	Consultorios medicos
6212	class	Dental offices	Dental offices	Consultorios dentales	Consultorios dentales
6213	class	Other health care offices	Other health care offices	Otros consultorios para el cuidado de la salud	Otros consultorios para el cuidado de la salud
6214	class	Outpatient care centers	Outpatient care centers	Centros para la atencion de pacientes que no requieren hospitalizacion	Centros para la atencion de pacientes que no requieren hospitalizacion
6215	class	Medical and diagnostic laboratories	Medical and diagnostic laboratories	Laboratorios medicos y de diagnostico	Laboratorios medicos y de diagnostico
6216	class	Home nursing services	Home nursing services	Servicios de enfermeria a domicilio	Servicios de enfermeria a domicilio
6219	class	Ambulance services, organ banks and other medical treatment ancillary services	Ambulance services, organ banks and other medical treatment ancillary services	Servicios de ambulancias, de bancos de organos y otros servicios auxiliares al tratamiento medico	Servicios de ambulancias, de bancos de organos y otros servicios auxiliares al tratamiento medico
6221	class	General hospitals	General hospitals	Hospitales generales	Hospitales generales
6222	class	Psychiatric and addiction hospitals	Psychiatric and addiction hospitals	Hospitales psiquiatricos y para el tratamiento por adiccion	Hospitales psiquiatricos y para el tratamiento por adiccion
6223	class	Other medical specialties hospitals	Other medical specialties hospitals	Hospitales de otras especialidades medicas	Hospitales de otras especialidades medicas
6231	class	Residential facilities with nursing care for convalescent, in rehabilitation, incurable and terminal patients	Residential facilities with nursing care for convalescent, in rehabilitation, incurable and terminal patients	Residencias con cuidados de enfermeras para enfermos convalecientes, en rehabilitacion, incurables y terminales	Residencias con cuidados de enfermeras para enfermos convalecientes, en rehabilitacion, incurables y terminales
