4digit	2digit	section	atlas_section
2303	23	2	3
2304	23	2	3
2305	23	2	3
2306	23	2	3
2307	23	2	3
2308	23	2	3
2309	23	2	3
2401	24	2	3
2402	24	2	3
2403	24	2	3
2501	25	4	4
2502	25	4	4
2503	25	4	4
2504	25	4	4
2505	25	4	4
2506	25	4	4
2507	25	4	4
2508	25	4	4
2509	25	4	4
2510	25	4	4
2511	25	4	4
2512	25	4	4
2513	25	4	4
2514	25	4	4
2515	25	4	4
2516	25	4	4
2517	25	4	4
2518	25	4	4
2519	25	4	4
2520	25	4	4
2521	25	4	4
2522	25	4	4
2523	25	4	4
2524	25	4	4
2525	25	4	4
2526	25	4	4
2527	25	4	4
2528	25	4	4
2529	25	4	4
2530	25	4	4
2601	26	4	4
2602	26	4	4
2603	26	4	4
2604	26	4	4
2605	26	4	4
2606	26	4	4
2607	26	4	4
2608	26	4	4
2609	26	4	4
2610	26	4	4
2611	26	4	4
2612	26	4	4
2613	26	4	4
2614	26	4	4
2615	26	4	4
2616	26	4	4
2617	26	4	4
2618	26	4	4
2619	26	4	4
2620	26	4	4
2621	26	4	4
2701	27	4	4
2702	27	4	4
2703	27	4	4
2704	27	4	4
2705	27	4	4
2706	27	4	4
2707	27	4	4
2708	27	4	4
2709	27	4	4
2710	27	4	4
2711	27	4	4
2712	27	4	4
2713	27	4	4
2714	27	4	4
2715	27	4	4
2716	27	4	4
2801	28	6	5
2802	28	6	5
2803	28	6	5
2804	28	6	5
2805	28	6	5
2806	28	6	5
2807	28	6	5
2808	28	6	5
2809	28	6	5
2810	28	6	5
2811	28	6	5
2812	28	6	5
2813	28	6	5
2814	28	6	5
2815	28	6	5
2816	28	6	5
2817	28	6	5
2818	28	6	5
2819	28	6	5
2820	28	6	5
2821	28	6	5
2822	28	6	5
2823	28	6	5
2824	28	6	5
2825	28	6	5
2826	28	6	5
2827	28	6	5
2828	28	6	5
2829	28	6	5
2830	28	6	5
2831	28	6	5
2832	28	6	5
2833	28	6	5
2834	28	6	5
2835	28	6	5
2836	28	6	5
2837	28	6	5
2838	28	6	5
2839	28	6	5
2840	28	6	5
2841	28	6	5
2842	28	6	5
2843	28	6	5
2844	28	6	5
2845	28	6	5
2846	28	6	5
2847	28	6	5
2848	28	6	5
2849	28	6	5
2850	28	6	5
2851	28	6	5
2852	28	6	5
2853	28	6	5
2901	29	6	5
2902	29	6	5
2903	29	6	5
2904	29	6	5
2905	29	6	5
2906	29	6	5
2907	29	6	5
2908	29	6	5
2909	29	6	5
2910	29	6	5
2911	29	6	5
2912	29	6	5
2913	29	6	5
2914	29	6	5
2915	29	6	5
2916	29	6	5
2917	29	6	5
2918	29	6	5
2919	29	6	5
2920	29	6	5
2921	29	6	5
2922	29	6	5
2923	29	6	5
2924	29	6	5
2925	29	6	5
2926	29	6	5
2927	29	6	5
2928	29	6	5
2929	29	6	5
2930	29	6	5
2931	29	6	5
