"","code","name","level","name_en","name_es","name_short_en","name_short_es","parent_id"
1316,"7831","Public service type passenger motor vehicles","4digit","Public service type passenger motor vehicles","","Public service type passenger motor vehicles","",448.0
1317,"7832","Road tractors for semi-trailers","4digit","Road tractors for semi-trailers","","Road tractors for semi-trailers","",448.0
1318,"7841","Chassis fitted with engines, for vehicles of headings 722, 781-783","4digit","Chassis fitted with engines, for vehicles of headings 722, 781-783","","Chassis fitted with engines, for vehicles of headings 722, 781-783","",449.0
1319,"7842","Bodies, for vehicles of headings 722, 781-783","4digit","Bodies, for vehicles of headings 722, 781-783","","Bodies, for vehicles of headings 722, 781-783","",449.0
1320,"7849","Other parts and accessories, for vehicles of headings 722, 781-783","4digit","Other parts and accessories, for vehicles of headings 722, 781-783","","Other parts and accessories, for vehicles of headings 722, 781-783","",449.0
1321,"7851","Motorcycles, auto-cycles; side-cars of all kind, etc","4digit","Motorcycles, auto-cycles; side-cars of all kind, etc","","Motorcycles, auto-cycles; side-cars of all kind, etc","",450.0
1322,"7852","Cycles, not motorized","4digit","Cycles, not motorized","","Cycles, not motorized","",450.0
1323,"7853","Invalid carriages; parts, nes of articles of heading 785","4digit","Invalid carriages; parts, nes of articles of heading 785","","Invalid carriages; parts, nes of articles of heading 785","",450.0
1324,"7861","Trailers and transports containers","4digit","Trailers and transports containers","","Trailers and transports containers","",451.0
1325,"7868","Other not mechanically propelled vehicles; and parts, nes","4digit","Other not mechanically propelled vehicles; and parts, nes","","Other not mechanically propelled vehicles; and parts, nes","",451.0
1326,"7911","Rail locomotives, electric","4digit","Rail locomotives, electric","","Rail locomotives, electric","",452.0
1327,"7912","Other rail locomotives; tenders","4digit","Other rail locomotives; tenders","","Other rail locomotives; tenders","",452.0
1328,"7913","Mechanically propelled railway, tramway, trolleys, etc","4digit","Mechanically propelled railway, tramway, trolleys, etc","","Mechanically propelled railway, tramway, trolleys, etc","",452.0
1329,"7914","Railway, tramway passenger coaches, etc, not mechanically propelled","4digit","Railway, tramway passenger coaches, etc, not mechanically propelled","","Railway, tramway passenger coaches, etc, not mechanically propelled","",452.0
1330,"7915","Railway and tramway freight, etc, not mechanically propelled","4digit","Railway and tramway freight, etc, not mechanically propelled","","Railway and tramway freight, etc, not mechanically propelled","",452.0
1331,"7919","Railway track fixtures, and fittings, etc, parts nes of heading 791","4digit","Railway track fixtures, and fittings, etc, parts nes of heading 791","","Railway track fixtures, and fittings, etc, parts nes of heading 791","",452.0
1332,"7921","Helicopters","4digit","Helicopters","","Helicopters","",453.0
1333,"7922","Aircraft of an unladen weight not exceeding 2000 kg","4digit","Aircraft of an unladen weight not exceeding 2000 kg","","Aircraft of an unladen weight not exceeding 2000 kg","",453.0
1334,"7923","Aircraft of an unladen weight from 2000 kg to 15000 kg","4digit","Aircraft of an unladen weight from 2000 kg to 15000 kg","","Aircraft of an unladen weight from 2000 kg to 15000 kg","",453.0
1335,"7924","Aircraft of an unladen weight exceeding 15000 kg","4digit","Aircraft of an unladen weight exceeding 15000 kg","","Aircraft of an unladen weight exceeding 15000 kg","",453.0
1336,"7928","Aircraft, nes and associated equipment","4digit","Aircraft, nes and associated equipment","","Aircraft, nes and associated equipment","",453.0
1337,"7929","Parts, nes of the aircraft of heading 792","4digit","Parts, nes of the aircraft of heading 792","","Parts, nes of the aircraft of heading 792","",453.0
1338,"7931","Warships","4digit","Warships","","Warships","",454.0
1339,"7932","Ships, boats and other vessels","4digit","Ships, boats and other vessels","","Ships, boats and other vessels","",454.0
1340,"7933","Ships, boats and other vessels for breaking up","4digit","Ships, boats and other vessels for breaking up","","Ships, boats and other vessels for breaking up","",454.0
1341,"7938","Tugs, special purpose vessels and floating structures","4digit","Tugs, special purpose vessels and floating structures","","Tugs, special purpose vessels and floating structures","",454.0
1342,"8121","Central heating equipment, not electrically heated, parts, nes","4digit","Central heating equipment, not electrically heated, parts, nes","","Central heating equipment, not electrically heated, parts, nes","",455.0
1343,"8122","Ceramic plumbing fixtures","4digit","Ceramic plumbing fixtures","","Ceramic plumbing fixtures","",455.0
1344,"8124","Lighting fixture and fittings, lamps, lanterns, and parts, nes","4digit","Lighting fixture and fittings, lamps, lanterns, and parts, nes","","Lighting fixture and fittings, lamps, lanterns, and parts, nes","",455.0
1345,"8211","Chairs and other seats; and parts thereof, nes","4digit","Chairs and other seats; and parts thereof, nes","","Chairs and other seats; and parts thereof, nes","",456.0
