"","code","name","level","name_en","name_es","name_short_en","name_short_es","parent_id"
0,"0","Food and live animals chiefly for food","section","Food and live animals chiefly for food","","Food & live animals for food","",""
1,"1","Beverages and tobacco","section","Beverages and tobacco","","Drinks and tobacco","",""
2,"2","Crude materials, inedible, except fuels","section","Crude materials, inedible, except fuels","","Crude materials (inedible)","",""
3,"3","Mineral fuels, lubricants and related materials","section","Mineral fuels, lubricants and related materials","","Fuels, lubricants & related materials","",""
4,"4","Animal and vegetable oils, fats and waxes","section","Animal and vegetable oils, fats and waxes","","Animal and vegetable oils, fats and waxes","",""
5,"5","Chemicals and related products, nes","section","Chemicals and related products, nes","","Chemicals and related products","",""
6,"6","Manufactured goods classified chiefly by materials","section","Manufactured goods classified chiefly by materials","","Manufactured goods","",""
7,"7","Machinery and transport equipment","section","Machinery and transport equipment","","Machinery & transport","",""
8,"8","Miscellaneous manufactured articles","section","Miscellaneous manufactured articles","","Other manufactured articles","",""
9,"9","Commodities and transactions not classified elsewhere in the SITC","section","Commodities and transactions not classified elsewhere in the SITC","","Other","",""
10,"Services","Services","section","Services","Services","Services","Services",""
100,"00","Live animals chiefly for food","2digit","Live animals chiefly for food","","Live animals chiefly for food","",0.0
101,"01","Meat and preparations","2digit","Meat and preparations","","Meat and preparations","",0.0
102,"02","Dairy products and birds' eggs","2digit","Dairy products and birds' eggs","","Dairy products and birds' eggs","",0.0
103,"03","Fish, crustacean and molluscs, and preparations thereof","2digit","Fish, crustacean and molluscs, and preparations thereof","","Fish, crustacean and molluscs, and preparations thereof","",0.0
104,"04","Cereals and cereal preparations","2digit","Cereals and cereal preparations","","Cereals and cereal preparations","",0.0
105,"05","Vegetables and fruit","2digit","Vegetables and fruit","","Vegetables and fruit","",0.0
106,"06","Sugar, sugar preparations and honey","2digit","Sugar, sugar preparations and honey","","Sugar, sugar preparations and honey","",0.0
107,"07","Coffee, tea, cocoa, spices, and manufactures thereof","2digit","Coffee, tea, cocoa, spices, and manufactures thereof","","Coffee, tea, cocoa, spices, and manufactures thereof","",0.0
108,"08","Feeding stuff for animals (not including unmilled cereals)","2digit","Feeding stuff for animals (not including unmilled cereals)","","Feeding stuff for animals (not including unmilled cereals)","",0.0
109,"09","Miscellaneous edible products and preparations","2digit","Miscellaneous edible products and preparations","","Miscellaneous edible products and preparations","",0.0
110,"11","Beverages","2digit","Beverages","","Beverages","",1.0
111,"12","Tobacco and tobacco manufactures","2digit","Tobacco and tobacco manufactures","","Tobacco and tobacco manufactures","",1.0
112,"21","Hides, skins and furskins, raw","2digit","Hides, skins and furskins, raw","","Hides, skins and furskins, raw","",2.0
113,"22","Oil seeds and oleaginous fruit","2digit","Oil seeds and oleaginous fruit","","Oil seeds and oleaginous fruit","",2.0
114,"23","Crude rubber (including synthetic and reclaimed)","2digit","Crude rubber (including synthetic and reclaimed)","","Crude rubber (including synthetic and reclaimed)","",2.0
115,"24","Cork and wood","2digit","Cork and wood","","Cork and wood","",2.0
116,"25","Pulp and waste paper","2digit","Pulp and waste paper","","Pulp and waste paper","",2.0
117,"26","Textile fibres (not wool tops) and their wastes (not in yarn)","2digit","Textile fibres (not wool tops) and their wastes (not in yarn)","","Textile fibres (not wool tops) and their wastes (not in yarn)","",2.0
118,"27","Crude fertilizer and crude minerals","2digit","Crude fertilizer and crude minerals","","Crude fertilizer and crude minerals","",2.0
119,"28","Metalliferous ores and metal scrap","2digit","Metalliferous ores and metal scrap","","Metalliferous ores and metal scrap","",2.0
120,"29","Crude animal and vegetable materials, nes","2digit","Crude animal and vegetable materials, nes","","Crude animal and vegetable materials, nes","",2.0
121,"32","Coal, coke and briquettes","2digit","Coal, coke and briquettes","","Coal, coke and briquettes","",3.0
122,"33","Petroleum, petroleum products and related materials","2digit","Petroleum, petroleum products and related materials","","Petroleum, petroleum products and related materials","",3.0
123,"34","Gas, natural and manufactured","2digit","Gas, natural and manufactured","","Gas, natural and manufactured","",3.0
124,"35","Electric current","2digit","Electric current","","Electric current","",3.0
125,"41","Animal oils and fats","2digit","Animal oils and fats","","Animal oils and fats","",4.0
126,"42","Fixed vegetable oils and fats","2digit","Fixed vegetable oils and fats","","Fixed vegetable oils and fats","",4.0
127,"43","Animal and vegetable oils and fats, processed, and waxes","2digit","Animal and vegetable oils and fats, processed, and waxes","","Animal and vegetable oils and fats, processed, and waxes","",4.0
128,"51","Organic chemicals","2digit","Organic chemicals","","Organic chemicals","",5.0
129,"52","Inorganic chemicals","2digit","Inorganic chemicals","","Inorganic chemicals","",5.0
130,"53","Dyeing, tanning and colouring materials","2digit","Dyeing, tanning and colouring materials","","Dyeing, tanning and colouring materials","",5.0
131,"54","Medicinal and pharmaceutical products","2digit","Medicinal and pharmaceutical products","","Medicinal and pharmaceutical products","",5.0
132,"55","Oils and perfume materials; toilet and cleansing preparations","2digit","Oils and perfume materials; toilet and cleansing preparations","","Oils and perfume materials; toilet and cleansing preparations","",5.0
133,"56","Fertilizers, manufactured","2digit","Fertilizers, manufactured","","Fertilizers, manufactured","",5.0
134,"57","Explosives and pyrotechnic products","2digit","Explosives and pyrotechnic products","","Explosives and pyrotechnic products","",5.0
135,"58","Artificial resins and plastic materials, and cellulose esters etc","2digit","Artificial resins and plastic materials, and cellulose esters etc","","Artificial resins and plastic materials, and cellulose esters etc","",5.0
136,"59","Chemical materials and products, nes","2digit","Chemical materials and products, nes","","Chemical materials and products, nes","",5.0
137,"61","Leather, leather manufactures, nes, and dressed furskins","2digit","Leather, leather manufactures, nes, and dressed furskins","","Leather, leather manufactures, nes, and dressed furskins","",6.0
138,"62","Rubber manufactures, nes","2digit","Rubber manufactures, nes","","Rubber manufactures, nes","",6.0
139,"63","Cork and wood, cork manufactures","2digit","Cork and wood, cork manufactures","","Cork and wood, cork manufactures","",6.0
140,"64","Paper, paperboard, and articles of pulp, of paper or of paperboard","2digit","Paper, paperboard, and articles of pulp, of paper or of paperboard","","Paper, paperboard, and articles of pulp, of paper or of paperboard","",6.0
141,"65","Textile yarn, fabrics, made-up articles, nes, and related products","2digit","Textile yarn, fabrics, made-up articles, nes, and related products","","Textile yarn, fabrics, made-up articles, nes, and related products","",6.0
142,"66","Non-metallic mineral manufactures, nes","2digit","Non-metallic mineral manufactures, nes","","Non-metallic mineral manufactures, nes","",6.0
143,"67","Iron and steel","2digit","Iron and steel","","Iron and steel","",6.0
144,"68","Non-ferrous metals","2digit","Non-ferrous metals","","Non-ferrous metals","",6.0
145,"69","Manufactures of metals, nes","2digit","Manufactures of metals, nes","","Manufactures of metals, nes","",6.0
146,"71","Power generating machinery and equipment","2digit","Power generating machinery and equipment","","Power generating machinery and equipment","",7.0
147,"72","Machinery specialized for particular industries","2digit","Machinery specialized for particular industries","","Machinery specialized for particular industries","",7.0
148,"73","Metalworking machinery","2digit","Metalworking machinery","","Metalworking machinery","",7.0
149,"74","General industrial machinery and equipment, nes, and parts of, nes","2digit","General industrial machinery and equipment, nes, and parts of, nes","","General industrial machinery and equipment, nes, and parts of, nes","",7.0
150,"75","Office machines and automatic data processing equipment","2digit","Office machines and automatic data processing equipment","","Office machines and automatic data processing equipment","",7.0
151,"76","Telecommunications, sound recording and reproducing equipment","2digit","Telecommunications, sound recording and reproducing equipment","","Telecommunications, sound recording and reproducing equipment","",7.0
152,"77","Electric machinery, apparatus and appliances, nes, and parts, nes","2digit","Electric machinery, apparatus and appliances, nes, and parts, nes","","Electric machinery, apparatus and appliances, nes, and parts, nes","",7.0
153,"78","Road vehicles","2digit","Road vehicles","","Road vehicles","",7.0
154,"79","Other transport equipment","2digit","Other transport equipment","","Other transport equipment","",7.0
155,"81","Sanitary, plumbing, heating, lighting fixtures and fittings, nes","2digit","Sanitary, plumbing, heating, lighting fixtures and fittings, nes","","Sanitary, plumbing, heating, lighting fixtures and fittings, nes","",8.0
156,"82","Furniture and parts thereof","2digit","Furniture and parts thereof","","Furniture and parts thereof","",8.0
157,"83","Travel goods, handbags and similar containers","2digit","Travel goods, handbags and similar containers","","Travel goods, handbags and similar containers","",8.0
158,"84","Articles of apparel and clothing accessories","2digit","Articles of apparel and clothing accessories","","Articles of apparel and clothing accessories","",8.0
159,"85","Footwear","2digit","Footwear","","Footwear","",8.0
160,"87","Professional, scientific, controlling instruments, apparatus, nes","2digit","Professional, scientific, controlling instruments, apparatus, nes","","Professional, scientific, controlling instruments, apparatus, nes","",8.0
161,"88","Photographic equipment and supplies, optical goods; watches, etc","2digit","Photographic equipment and supplies, optical goods; watches, etc","","Photographic equipment and supplies, optical goods; watches, etc","",8.0
162,"89","Miscellaneous manufactured articles, nes","2digit","Miscellaneous manufactured articles, nes","","Miscellaneous manufactured articles, nes","",8.0
163,"91","Postal packages not classified according to kind","2digit","Postal packages not classified according to kind","","Postal packages not classified according to kind","",9.0
164,"93","Special transactions, commodity not classified according to class","2digit","Special transactions, commodity not classified according to class","","Special transactions, commodity not classified according to class","",9.0
165,"94","Animals, live, nes, (including zoo animals, pets, insects, etc)","2digit","Animals, live, nes, (including zoo animals, pets, insects, etc)","","Animals, live, nes, (including zoo animals, pets, insects, etc)","",9.0
166,"95","Armoured fighting vehicles, war firearms, ammunition, parts, nes","2digit","Armoured fighting vehicles, war firearms, ammunition, parts, nes","","Armoured fighting vehicles, war firearms, ammunition, parts, nes","",9.0
167,"96","Coin (other than gold coin), not being legal tender","2digit","Coin (other than gold coin), not being legal tender","","Coin (other than gold coin), not being legal tender","",9.0
168,"97","Gold, non-monetary (excluding gold ores and concentrates)","2digit","Gold, non-monetary (excluding gold ores and concentrates)","","Gold, non-monetary (excluding gold ores and concentrates)","",9.0
169,"ZZ","Unknown","2digit","Unknown","","Unknown","",9.0
200,"Other","Other","2digit","Other","Other","Other","Other",10.0
201,"Travel services","Travel services","2digit","Travel services","Travel services","Travel","Travel",10.0
202,"Transport services","Transport services","2digit","Transport services","Transport services","Transport","Transport",10.0
203,"Communications","Communications","2digit","Communications","Communications","Communications","Communications",10.0
204,"Insurance and financial services","Insurance and financial services","2digit","Insurance and financial services","Insurance and financial services","Insurance and finance","Insurance and finance",10.0
250,"001","Live animals chiefly for food","3digit","Live animals chiefly for food","","Live animals chiefly for food","",100.0
251,"011","Meat and edible meat offal, fresh, chilled or frozen","3digit","Meat and edible meat offal, fresh, chilled or frozen","","Meat and edible meat offal, fresh, chilled or frozen","",101.0
252,"012","Meat and edible meat offal, in brine, dried, salted or smoked","3digit","Meat and edible meat offal, in brine, dried, salted or smoked","","Meat and edible meat offal, in brine, dried, salted or smoked","",101.0
253,"014","Meat and edible meat offal, prepared, preserved, nes; fish extracts","3digit","Meat and edible meat offal, prepared, preserved, nes; fish extracts","","Meat and edible meat offal, prepared, preserved, nes; fish extracts","",101.0
254,"022","Milk and cream","3digit","Milk and cream","","Milk and cream","",102.0
255,"023","Butter","3digit","Butter","","Butter","",102.0
256,"024","Cheese and curd","3digit","Cheese and curd","","Cheese and curd","",102.0
257,"025","Eggs, birds', and egg yolks, fresh, dried or preserved","3digit","Eggs, birds', and egg yolks, fresh, dried or preserved","","Eggs, birds', and egg yolks, fresh, dried or preserved","",102.0
258,"034","Fish, fresh, chilled or frozen","3digit","Fish, fresh, chilled or frozen","","Fish, fresh, chilled or frozen","",103.0
259,"035","Fish, dried, salted or in brine; smoked fish","3digit","Fish, dried, salted or in brine; smoked fish","","Fish, dried, salted or in brine; smoked fish","",103.0
260,"036","Crustaceans and molluscs, fresh, chilled, frozen, salted, etc","3digit","Crustaceans and molluscs, fresh, chilled, frozen, salted, etc","","Crustaceans and molluscs, fresh, chilled, frozen, salted, etc","",103.0
261,"037","Fish, crustaceans and molluscs, prepared or preserved, nes","3digit","Fish, crustaceans and molluscs, prepared or preserved, nes","","Fish, crustaceans and molluscs, prepared or preserved, nes","",103.0
262,"041","Wheat and meslin, unmilled","3digit","Wheat and meslin, unmilled","","Wheat and meslin, unmilled","",104.0
263,"042","Rice","3digit","Rice","","Rice","",104.0
264,"043","Barley, unmilled","3digit","Barley, unmilled","","Barley, unmilled","",104.0
265,"044","Maize, unmilled","3digit","Maize, unmilled","","Maize, unmilled","",104.0
266,"045","Cereals, unmilled","3digit","Cereals, unmilled","","Cereals, unmilled","",104.0
267,"046","Meal and flour of wheat and flour of meslin","3digit","Meal and flour of wheat and flour of meslin","","Meal and flour of wheat and flour of meslin","",104.0
268,"047","Other cereal meals and flour","3digit","Other cereal meals and flour","","Other cereal meals and flour","",104.0
269,"048","Cereal, flour or starch preparations of fruits or vegetables","3digit","Cereal, flour or starch preparations of fruits or vegetables","","Cereal, flour or starch preparations of fruits or vegetables","",104.0
270,"054","Vegetables, fresh or simply preserved; roots and tubers, nes","3digit","Vegetables, fresh or simply preserved; roots and tubers, nes","","Vegetables, fresh or simply preserved; roots and tubers, nes","",105.0
271,"056","Vegetables, roots and tubers, prepared or preserved, nes","3digit","Vegetables, roots and tubers, prepared or preserved, nes","","Vegetables, roots and tubers, prepared or preserved, nes","",105.0
272,"057","Fruit and nuts, fresh, dried","3digit","Fruit and nuts, fresh, dried","","Fruit and nuts, fresh, dried","",105.0
273,"058","Fruit, preserved, and fruits preparations","3digit","Fruit, preserved, and fruits preparations","","Fruit, preserved, and fruits preparations","",105.0
274,"061","Sugar and honey","3digit","Sugar and honey","","Sugar and honey","",106.0
275,"062","Sugar confectionery and preparations, non-chocolate","3digit","Sugar confectionery and preparations, non-chocolate","","Sugar confectionery and preparations, non-chocolate","",106.0
276,"071","Coffee and coffee substitutes","3digit","Coffee and coffee substitutes","","Coffee and coffee substitutes","",107.0
277,"072","Cocoa","3digit","Cocoa","","Cocoa","",107.0
278,"073","Chocolate and other preparations containing cocoa, nes","3digit","Chocolate and other preparations containing cocoa, nes","","Chocolate and other preparations containing cocoa, nes","",107.0
279,"074","Tea and mate","3digit","Tea and mate","","Tea and mate","",107.0
280,"075","Spices","3digit","Spices","","Spices","",107.0
281,"081","Feeding stuff for animals (not including unmilled cereals)","3digit","Feeding stuff for animals (not including unmilled cereals)","","Feeding stuff for animals (not including unmilled cereals)","",108.0
282,"091","Margarine and shortening","3digit","Margarine and shortening","","Margarine and shortening","",109.0
283,"098","Edible products and preparations, nes","3digit","Edible products and preparations, nes","","Edible products and preparations, nes","",109.0
284,"111","Non-alcoholic beverages, nes","3digit","Non-alcoholic beverages, nes","","Non-alcoholic beverages, nes","",110.0
285,"112","Alcoholic beverages","3digit","Alcoholic beverages","","Alcoholic beverages","",110.0
286,"121","Tobacco unmanufactured; tobacco refuse","3digit","Tobacco unmanufactured; tobacco refuse","","Tobacco unmanufactured; tobacco refuse","",111.0
287,"122","Tobacco, manufactured","3digit","Tobacco, manufactured","","Tobacco, manufactured","",111.0
288,"211","Hides and skins, excluding furs, raw","3digit","Hides and skins, excluding furs, raw","","Hides and skins, excluding furs, raw","",112.0
289,"212","Furskins, raw","3digit","Furskins, raw","","Furskins, raw","",112.0
290,"222","Seeds and oleaginous fruit, whole or broken, for 'soft' fixed oil","3digit","Seeds and oleaginous fruit, whole or broken, for 'soft' fixed oil","","Seeds and oleaginous fruit, whole or broken, for 'soft' fixed oil","",113.0
291,"223","Seeds and oleaginous fruit, whole or broken, for other fixed oils","3digit","Seeds and oleaginous fruit, whole or broken, for other fixed oils","","Seeds and oleaginous fruit, whole or broken, for other fixed oils","",113.0
292,"232","Natural rubber latex; rubber and gums","3digit","Natural rubber latex; rubber and gums","","Natural rubber latex; rubber and gums","",114.0
293,"233","Synthetic rubber, latex, etc; waste, scrap of unhardened rubber","3digit","Synthetic rubber, latex, etc; waste, scrap of unhardened rubber","","Synthetic rubber, latex, etc; waste, scrap of unhardened rubber","",114.0
294,"244","Cork, natural, raw and waste","3digit","Cork, natural, raw and waste","","Cork, natural, raw and waste","",115.0
295,"245","Fuel wood and wood charcoal","3digit","Fuel wood and wood charcoal","","Fuel wood and wood charcoal","",115.0
296,"246","Pulpwood (including chips and wood waste)","3digit","Pulpwood (including chips and wood waste)","","Pulpwood (including chips and wood waste)","",115.0
297,"247","Other wood in the rough or roughly squared","3digit","Other wood in the rough or roughly squared","","Other wood in the rough or roughly squared","",115.0
298,"248","Wood, simply worked, and railway sleepers of wood","3digit","Wood, simply worked, and railway sleepers of wood","","Wood, simply worked, and railway sleepers of wood","",115.0
299,"251","Pulp and waste paper","3digit","Pulp and waste paper","","Pulp and waste paper","",116.0
300,"261","Silk","3digit","Silk","","Silk","",117.0
301,"263","Cotton","3digit","Cotton","","Cotton","",117.0
302,"264","Jute, other textile bast fibres, nes, raw, processed but not spun","3digit","Jute, other textile bast fibres, nes, raw, processed but not spun","","Jute, other textile bast fibres, nes, raw, processed but not spun","",117.0
303,"265","Vegetable textile fibres, excluding cotton, jute, and waste","3digit","Vegetable textile fibres, excluding cotton, jute, and waste","","Vegetable textile fibres, excluding cotton, jute, and waste","",117.0
304,"266","Synthetic fibres suitable for spinning","3digit","Synthetic fibres suitable for spinning","","Synthetic fibres suitable for spinning","",117.0
305,"267","Other man-made fibres suitable for spinning, and waste","3digit","Other man-made fibres suitable for spinning, and waste","","Other man-made fibres suitable for spinning, and waste","",117.0
306,"268","Wool and other animal hair (excluding tops)","3digit","Wool and other animal hair (excluding tops)","","Wool and other animal hair (excluding tops)","",117.0
307,"269","Old clothing and other old textile articles; rags","3digit","Old clothing and other old textile articles; rags","","Old clothing and other old textile articles; rags","",117.0
308,"271","Fertilizers, crude","3digit","Fertilizers, crude","","Fertilizers, crude","",118.0
309,"273","Stone, sand and gravel","3digit","Stone, sand and gravel","","Stone, sand and gravel","",118.0
310,"274","Sulphur and unroasted iron pyrites","3digit","Sulphur and unroasted iron pyrites","","Sulphur and unroasted iron pyrites","",118.0
311,"277","Natural abrasives, nes","3digit","Natural abrasives, nes","","Natural abrasives, nes","",118.0
312,"278","Other crude minerals","3digit","Other crude minerals","","Other crude minerals","",118.0
313,"281","Iron ore and concentrates","3digit","Iron ore and concentrates","","Iron ore and concentrates","",119.0
314,"282","Waste and scrap metal of iron or steel","3digit","Waste and scrap metal of iron or steel","","Waste and scrap metal of iron or steel","",119.0
315,"286","Ores and concentrates of uranium and thorium","3digit","Ores and concentrates of uranium and thorium","","Ores and concentrates of uranium and thorium","",119.0
316,"287","Ores and concentrates of base metals, nes","3digit","Ores and concentrates of base metals, nes","","Ores and concentrates of base metals, nes","",119.0
317,"288","Non-ferrous base metal waste and scrap, nes","3digit","Non-ferrous base metal waste and scrap, nes","","Non-ferrous base metal waste and scrap, nes","",119.0
318,"289","Ores and concentrates of precious metals, waste, scrap","3digit","Ores and concentrates of precious metals, waste, scrap","","Ores and concentrates of precious metals, waste, scrap","",119.0
319,"291","Crude animal materials, nes","3digit","Crude animal materials, nes","","Crude animal materials, nes","",120.0
320,"292","Crude vegetable materials, nes","3digit","Crude vegetable materials, nes","","Crude vegetable materials, nes","",120.0
321,"322","Coal, lignite and peat","3digit","Coal, lignite and peat","","Coal, lignite and peat","",121.0
322,"323","Briquettes; coke and semi-coke; lignite or peat; retort carbon","3digit","Briquettes; coke and semi-coke; lignite or peat; retort carbon","","Briquettes; coke and semi-coke; lignite or peat; retort carbon","",121.0
323,"333","Crude petroleum and oils obtained from bituminous minerals","3digit","Crude petroleum and oils obtained from bituminous minerals","","Crude petroleum and oils obtained from bituminous minerals","",122.0
324,"334","Petroleum products, refined","3digit","Petroleum products, refined","","Petroleum products, refined","",122.0
325,"335","Residual petroleum products, nes and related materials","3digit","Residual petroleum products, nes and related materials","","Residual petroleum products, nes and related materials","",122.0
326,"341","Gas, natural and manufactured","3digit","Gas, natural and manufactured","","Gas, natural and manufactured","",123.0
327,"351","Electric current","3digit","Electric current","","Electric current","",124.0
328,"411","Animal oils and fats","3digit","Animal oils and fats","","Animal oils and fats","",125.0
329,"423","Fixed vegetable oils, soft, crude refined or purified","3digit","Fixed vegetable oils, soft, crude refined or purified","","Fixed vegetable oils, soft, crude refined or purified","",126.0
330,"424","Other fixed vegetable oils, fluid or solid, crude, refined","3digit","Other fixed vegetable oils, fluid or solid, crude, refined","","Other fixed vegetable oils, fluid or solid, crude, refined","",126.0
331,"431","Animal and vegetable oils and fats, processed, and waxes","3digit","Animal and vegetable oils and fats, processed, and waxes","","Animal and vegetable oils and fats, processed, and waxes","",127.0
332,"511","Hydrocarbons, nes, and derivatives","3digit","Hydrocarbons, nes, and derivatives","","Hydrocarbons, nes, and derivatives","",128.0
333,"512","Alcohols, phenols etc, and their derivatives","3digit","Alcohols, phenols etc, and their derivatives","","Alcohols, phenols etc, and their derivatives","",128.0
334,"513","Carboxylic acids, and their derivatives","3digit","Carboxylic acids, and their derivatives","","Carboxylic acids, and their derivatives","",128.0
335,"514","Nitrogen-function compounds","3digit","Nitrogen-function compounds","","Nitrogen-function compounds","",128.0
336,"515","Organo-inorganic and heterocyclic compounds","3digit","Organo-inorganic and heterocyclic compounds","","Organo-inorganic and heterocyclic compounds","",128.0
337,"516","Other organic chemicals","3digit","Other organic chemicals","","Other organic chemicals","",128.0
338,"522","Inorganic chemical elements, oxides and halogen salts","3digit","Inorganic chemical elements, oxides and halogen salts","","Inorganic chemical elements, oxides and halogen salts","",129.0
339,"523","Other inorganic chemicals; compounds of precious metals","3digit","Other inorganic chemicals; compounds of precious metals","","Other inorganic chemicals; compounds of precious metals","",129.0
340,"524","Radioactive and associated material","3digit","Radioactive and associated material","","Radioactive and associated material","",129.0
341,"531","Synthetic dye, natural indigo, lakes","3digit","Synthetic dye, natural indigo, lakes","","Synthetic dye, natural indigo, lakes","",130.0
342,"532","Dyeing and tanning extracts, and synthetic tanning materials","3digit","Dyeing and tanning extracts, and synthetic tanning materials","","Dyeing and tanning extracts, and synthetic tanning materials","",130.0
343,"533","Pigments, paints, varnishes and related materials","3digit","Pigments, paints, varnishes and related materials","","Pigments, paints, varnishes and related materials","",130.0
344,"541","Medicinal and pharmaceutical products","3digit","Medicinal and pharmaceutical products","","Medicinal and pharmaceutical products","",131.0
345,"551","Essential oils, perfume and flavour materials","3digit","Essential oils, perfume and flavour materials","","Essential oils, perfume and flavour materials","",132.0
346,"553","Perfumery, cosmetics, toilet preparations, etc","3digit","Perfumery, cosmetics, toilet preparations, etc","","Perfumery, cosmetics, toilet preparations, etc","",132.0
347,"554","Soap, cleansing and polishing preparations","3digit","Soap, cleansing and polishing preparations","","Soap, cleansing and polishing preparations","",132.0
348,"562","Fertilizers, manufactured","3digit","Fertilizers, manufactured","","Fertilizers, manufactured","",133.0
349,"572","Explosives and pyrotechnic products","3digit","Explosives and pyrotechnic products","","Explosives and pyrotechnic products","",134.0
350,"582","Condensation, polycondensation and polyaddition products","3digit","Condensation, polycondensation and polyaddition products","","Condensation, polycondensation and polyaddition products","",135.0
351,"583","Polymerization and copolymerization products","3digit","Polymerization and copolymerization products","","Polymerization and copolymerization products","",135.0
352,"584","Regenerated cellulose; derivatives of cellulose; vulcanized fibre","3digit","Regenerated cellulose; derivatives of cellulose; vulcanized fibre","","Regenerated cellulose; derivatives of cellulose; vulcanized fibre","",135.0
353,"585","Other artificial resins and plastic materials","3digit","Other artificial resins and plastic materials","","Other artificial resins and plastic materials","",135.0
354,"591","Pesticides, disinfectants","3digit","Pesticides, disinfectants","","Pesticides, disinfectants","",136.0
355,"592","Starches, insulin and wheat gluten; albuminoidal substances; glues","3digit","Starches, insulin and wheat gluten; albuminoidal substances; glues","","Starches, insulin and wheat gluten; albuminoidal substances; glues","",136.0
356,"598","Miscellaneous chemical products, nes","3digit","Miscellaneous chemical products, nes","","Miscellaneous chemical products, nes","",136.0
357,"611","Leather","3digit","Leather","","Leather","",137.0
358,"612","Manufactures of leather or of composition leather, nes; etc","3digit","Manufactures of leather or of composition leather, nes; etc","","Manufactures of leather or of composition leather, nes; etc","",137.0
359,"613","Furskins, tanned or dressed; pieces of furskin, tanned or dressed","3digit","Furskins, tanned or dressed; pieces of furskin, tanned or dressed","","Furskins, tanned or dressed; pieces of furskin, tanned or dressed","",137.0
360,"621","Materials of rubber","3digit","Materials of rubber","","Materials of rubber","",138.0
361,"625","Rubber tires, tire cases, inner and flaps, for wheels of all kinds","3digit","Rubber tires, tire cases, inner and flaps, for wheels of all kinds","","Rubber tires, tire cases, inner and flaps, for wheels of all kinds","",138.0
362,"628","Articles of rubber, nes","3digit","Articles of rubber, nes","","Articles of rubber, nes","",138.0
363,"633","Cork manufactures","3digit","Cork manufactures","","Cork manufactures","",139.0
364,"634","Veneers, plywood, ""improved"" wood and other wood, worked, nes","3digit","Veneers, plywood, ""improved"" wood and other wood, worked, nes","","Veneers, plywood, ""improved"" wood and other wood, worked, nes","",139.0
365,"635","Wood manufactures, nes","3digit","Wood manufactures, nes","","Wood manufactures, nes","",139.0
366,"641","Paper and paperboard","3digit","Paper and paperboard","","Paper and paperboard","",140.0
367,"642","Paper and paperboard, precut, and articles of paper or paperboard","3digit","Paper and paperboard, precut, and articles of paper or paperboard","","Paper and paperboard, precut, and articles of paper or paperboard","",140.0
368,"651","Textile yarn","3digit","Textile yarn","","Textile yarn","",141.0
369,"652","Cotton fabrics, woven (not including narrow or special fabrics)","3digit","Cotton fabrics, woven (not including narrow or special fabrics)","","Cotton fabrics, woven (not including narrow or special fabrics)","",141.0
370,"653","Fabrics, woven, of man-made fibres (not narrow or special fabrics)","3digit","Fabrics, woven, of man-made fibres (not narrow or special fabrics)","","Fabrics, woven, of man-made fibres (not narrow or special fabrics)","",141.0
371,"654","Textile fabrics, woven, other than cotton or man-made fibres","3digit","Textile fabrics, woven, other than cotton or man-made fibres","","Textile fabrics, woven, other than cotton or man-made fibres","",141.0
372,"655","Knitted or crocheted fabrics (including tubular, etc, fabrics)","3digit","Knitted or crocheted fabrics (including tubular, etc, fabrics)","","Knitted or crocheted fabrics (including tubular, etc, fabrics)","",141.0
373,"656","Tulle, lace, embroidery, ribbons, trimmings and other small wares","3digit","Tulle, lace, embroidery, ribbons, trimmings and other small wares","","Tulle, lace, embroidery, ribbons, trimmings and other small wares","",141.0
374,"657","Special textile fabrics and related products","3digit","Special textile fabrics and related products","","Special textile fabrics and related products","",141.0
375,"658","Made-up articles, wholly or chiefly of textile materials, nes","3digit","Made-up articles, wholly or chiefly of textile materials, nes","","Made-up articles, wholly or chiefly of textile materials, nes","",141.0
376,"659","Floor coverings, etc","3digit","Floor coverings, etc","","Floor coverings, etc","",141.0
377,"661","Lime, cement, and fabricated construction materials","3digit","Lime, cement, and fabricated construction materials","","Lime, cement, and fabricated construction materials","",142.0
378,"662","Clay and refractory construction materials","3digit","Clay and refractory construction materials","","Clay and refractory construction materials","",142.0
379,"663","Mineral manufactures, nes","3digit","Mineral manufactures, nes","","Mineral manufactures, nes","",142.0
380,"664","Glass","3digit","Glass","","Glass","",142.0
381,"665","Glassware","3digit","Glassware","","Glassware","",142.0
382,"666","Pottery","3digit","Pottery","","Pottery","",142.0
383,"667","Pearl, precious and semi-precious stones, unworked or worked","3digit","Pearl, precious and semi-precious stones, unworked or worked","","Pearl, precious and semi-precious stones, unworked or worked","",142.0
384,"671","Pig and sponge iron, spiegeleisen, etc, and ferro-alloys","3digit","Pig and sponge iron, spiegeleisen, etc, and ferro-alloys","","Pig and sponge iron, spiegeleisen, etc, and ferro-alloys","",143.0
385,"672","Ingots and other primary forms, of iron or steel","3digit","Ingots and other primary forms, of iron or steel","","Ingots and other primary forms, of iron or steel","",143.0
386,"673","Iron and steel bars, rods, shapes and sections","3digit","Iron and steel bars, rods, shapes and sections","","Iron and steel bars, rods, shapes and sections","",143.0
387,"674","Universals, plates, and sheets, of iron or steel","3digit","Universals, plates, and sheets, of iron or steel","","Universals, plates, and sheets, of iron or steel","",143.0
388,"675","Hoop and strip of iron or steel, hot-rolled or cold-rolled","3digit","Hoop and strip of iron or steel, hot-rolled or cold-rolled","","Hoop and strip of iron or steel, hot-rolled or cold-rolled","",143.0
