6digit_code	4digit_code	2digit_code	section_code
160231	1602	16	1
160239	1602	16	1
160241	1602	16	1
160242	1602	16	1
160249	1602	16	1
160250	1602	16	1
160290	1602	16	1
160300	1603	16	1
160411	1604	16	1
160412	1604	16	1
160413	1604	16	1
160414	1604	16	1
160415	1604	16	1
160416	1604	16	1
160419	1604	16	1
160420	1604	16	1
160430	1604	16	1
160510	1605	16	1
160520	1605	16	1
160530	1605	16	1
160540	1605	16	1
160590	1605	16	1
170111	1701	17	1
170112	1701	17	1
170191	1701	17	1
170199	1701	17	1
170210	1702	17	1
170220	1702	17	1
170230	1702	17	1
170240	1702	17	1
170250	1702	17	1
170260	1702	17	1
170290	1702	17	1
170310	1703	17	1
170390	1703	17	1
170410	1704	17	1
170490	1704	17	1
180100	1801	18	1
180200	1802	18	1
180310	1803	18	1
180320	1803	18	1
180400	1804	18	1
180500	1805	18	1
180610	1806	18	1
180620	1806	18	1
180631	1806	18	1
180632	1806	18	1
180690	1806	18	1
190110	1901	19	1
190120	1901	19	1
190190	1901	19	1
190211	1902	19	1
190219	1902	19	1
190220	1902	19	1
190230	1902	19	1
190240	1902	19	1
190300	1903	19	1
190410	1904	19	1
190490	1904	19	1
190510	1905	19	1
190520	1905	19	1
190530	1905	19	1
190540	1905	19	1
190590	1905	19	1
200110	2001	20	1
200120	2001	20	1
200190	2001	20	1
200210	2002	20	1
200290	2002	20	1
200310	2003	20	1
200320	2003	20	1
200410	2004	20	1
200490	2004	20	1
200510	2005	20	1
200520	2005	20	1
200530	2005	20	1
200540	2005	20	1
200551	2005	20	1
200559	2005	20	1
200560	2005	20	1
200570	2005	20	1
200580	2005	20	1
200590	2005	20	1
200600	2006	20	1
200710	2007	20	1
200791	2007	20	1
200799	2007	20	1
200811	2008	20	1
200819	2008	20	1
200820	2008	20	1
200830	2008	20	1
200840	2008	20	1
200850	2008	20	1
200860	2008	20	1
200870	2008	20	1
200880	2008	20	1
200891	2008	20	1
200892	2008	20	1
200899	2008	20	1
200911	2009	20	1
200919	2009	20	1
200920	2009	20	1
200930	2009	20	1
200940	2009	20	1
200950	2009	20	1
200960	2009	20	1
200970	2009	20	1
200980	2009	20	1
200990	2009	20	1
210110	2101	21	1
210120	2101	21	1
210130	2101	21	1
210210	2102	21	1
210220	2102	21	1
210230	2102	21	1
210310	2103	21	1
210320	2103	21	1
210330	2103	21	1
210390	2103	21	1
210410	2104	21	1
210420	2104	21	1
210500	2105	21	1
210610	2106	21	1
210690	2106	21	1
220110	2201	22	1
220190	2201	22	1
220210	2202	22	1
220290	2202	22	1
220300	2203	22	1
220410	2204	22	1
220421	2204	22	1
220429	2204	22	1
220430	2204	22	1
220510	2205	22	1
220590	2205	22	1
220600	2206	22	1
220710	2207	22	1
220720	2207	22	1
220810	2208	22	1
220820	2208	22	1
220830	2208	22	1
220840	2208	22	1
220850	2208	22	1
220890	2208	22	1
220900	2209	22	1
230110	2301	23	1
230120	2301	23	1
230210	2302	23	1
230220	2302	23	1
230230	2302	23	1
230240	2302	23	1
230250	2302	23	1
230310	2303	23	1
230320	2303	23	1
230330	2303	23	1
230400	2304	23	1
230500	2305	23	1
230610	2306	23	1
230620	2306	23	1
230630	2306	23	1
230640	2306	23	1
230650	2306	23	1
230660	2306	23	1
230690	2306	23	1
230700	2307	23	1
230810	2308	23	1
230890	2308	23	1
230910	2309	23	1
230990	2309	23	1
240110	2401	24	1
240120	2401	24	1
240130	2401	24	1
240210	2402	24	1
240220	2402	24	1
240290	2402	24	1
240310	2403	24	1
240391	2403	24	1
240399	2403	24	1
250100	2501	25	3
250200	2502	25	3
250310	2503	25	3
250390	2503	25	3
250410	2504	25	3
250490	2504	25	3
250510	2505	25	3
250590	2505	25	3
250610	2506	25	3
250621	2506	25	3
250629	2506	25	3
250700	2507	25	3
250810	2508	25	3
250820	2508	25	3
250830	2508	25	3
250840	2508	25	3
250850	2508	25	3
250860	2508	25	3
250870	2508	25	3
250900	2509	25	3
251010	2510	25	3
251020	2510	25	3
251110	2511	25	3
251120	2511	25	3
251200	2512	25	3
251311	2513	25	3
251319	2513	25	3
251321	2513	25	3
251329	2513	25	3
251400	2514	25	3
251511	2515	25	3
251512	2515	25	3
251520	2515	25	3
251611	2516	25	3
251612	2516	25	3
251621	2516	25	3
251622	2516	25	3
251690	2516	25	3
251710	2517	25	3
251720	2517	25	3
251730	2517	25	3
251741	2517	25	3
251749	2517	25	3
251810	2518	25	3
251820	2518	25	3
251830	2518	25	3
251910	2519	25	3
251990	2519	25	3
252010	2520	25	3
252020	2520	25	3
252100	2521	25	3
252210	2522	25	3
252220	2522	25	3
252230	2522	25	3
252310	2523	25	3
252321	2523	25	3
252329	2523	25	3
252330	2523	25	3
252390	2523	25	3
252400	2524	25	3
252510	2525	25	3
252520	2525	25	3
252530	2525	25	3
252610	2526	25	3
252620	2526	25	3
252700	2527	25	3
252810	2528	25	3
252890	2528	25	3
252910	2529	25	3
252921	2529	25	3
252922	2529	25	3
252930	2529	25	3
253010	2530	25	3
253020	2530	25	3
253030	2530	25	3
253040	2530	25	3
253090	2530	25	3
260111	2601	26	3
260112	2601	26	3
260120	2601	26	3
260200	2602	26	3
260300	2603	26	3
260400	2604	26	3
260500	2605	26	3
260600	2606	26	3
260700	2607	26	3
260800	2608	26	3
260900	2609	26	3
261000	2610	26	3
261100	2611	26	3
261210	2612	26	3
261220	2612	26	3
261310	2613	26	3
261390	2613	26	3
261400	2614	26	3
261510	2615	26	3
261590	2615	26	3
261610	2616	26	3
261690	2616	26	3
261710	2617	26	3
261790	2617	26	3
261800	2618	26	3
261900	2619	26	3
262011	2620	26	3
262019	2620	26	3
262020	2620	26	3
262030	2620	26	3
262040	2620	26	3
262050	2620	26	3
262090	2620	26	3
262100	2621	26	3
270111	2701	27	3
270112	2701	27	3
270119	2701	27	3
270120	2701	27	3
270210	2702	27	3
270220	2702	27	3
270300	2703	27	3
270400	2704	27	3
270500	2705	27	3
270600	2706	27	3
270710	2707	27	3
270720	2707	27	3
270730	2707	27	3
270740	2707	27	3
270750	2707	27	3
270760	2707	27	3
270791	2707	27	3
270799	2707	27	3
270810	2708	27	3
270820	2708	27	3
270900	2709	27	3
271000	2710	27	3
271011	2710	27	3
271012	2710	27	3
271013	2710	27	3
271014	2710	27	3
271015	2710	27	3
271016	2710	27	3
271019	2710	27	3
271021	2710	27	3
271022	2710	27	3
271025	2710	27	3
271026	2710	27	3
271027	2710	27	3
271029	2710	27	3
271091	2710	27	3
271093	2710	27	3
271094	2710	27	3
271095	2710	27	3
271096	2710	27	3
271099	2710	27	3
271111	2711	27	3
271112	2711	27	3
271113	2711	27	3
271114	2711	27	3
271119	2711	27	3
271121	2711	27	3
271129	2711	27	3
271210	2712	27	3
271220	2712	27	3
271290	2712	27	3
271311	2713	27	3
271312	2713	27	3
271320	2713	27	3
271390	2713	27	3
271410	2714	27	3
271490	2714	27	3
271500	2715	27	3
271600	2716	27	3
280110	2801	28	5
280120	2801	28	5
280130	2801	28	5
280200	2802	28	5
280300	2803	28	5
280410	2804	28	5
280421	2804	28	5
280429	2804	28	5
280430	2804	28	5
280440	2804	28	5
280450	2804	28	5
280461	2804	28	5
280469	2804	28	5
280470	2804	28	5
280480	2804	28	5
280490	2804	28	5
280511	2805	28	5
280519	2805	28	5
280521	2805	28	5
280522	2805	28	5
280530	2805	28	5
280540	2805	28	5
280610	2806	28	5
280620	2806	28	5
280700	2807	28	5
280800	2808	28	5
280910	2809	28	5
280920	2809	28	5
281000	2810	28	5
281111	2811	28	5
281119	2811	28	5
281121	2811	28	5
281122	2811	28	5
281123	2811	28	5
281129	2811	28	5
281210	2812	28	5
281290	2812	28	5
281310	2813	28	5
281390	2813	28	5
281410	2814	28	5
281420	2814	28	5
281511	2815	28	5
281512	2815	28	5
281520	2815	28	5
281530	2815	28	5
281610	2816	28	5
281620	2816	28	5
281630	2816	28	5
281700	2817	28	5
281810	2818	28	5
281820	2818	28	5
281830	2818	28	5
281910	2819	28	5
281990	2819	28	5
282010	2820	28	5
282090	2820	28	5
282110	2821	28	5
282120	2821	28	5
282200	2822	28	5
282300	2823	28	5
282410	2824	28	5
282420	2824	28	5
282490	2824	28	5
282510	2825	28	5
282520	2825	28	5
282530	2825	28	5
282540	2825	28	5
282550	2825	28	5
282560	2825	28	5
282570	2825	28	5
282580	2825	28	5
282590	2825	28	5
282611	2826	28	5
282612	2826	28	5
282619	2826	28	5
282620	2826	28	5
282630	2826	28	5
282690	2826	28	5
282710	2827	28	5
282720	2827	28	5
282731	2827	28	5
282732	2827	28	5
282733	2827	28	5
282734	2827	28	5
282735	2827	28	5
282736	2827	28	5
282737	2827	28	5
282738	2827	28	5
282739	2827	28	5
282741	2827	28	5
282749	2827	28	5
282751	2827	28	5
282759	2827	28	5
282760	2827	28	5
282810	2828	28	5
282890	2828	28	5
282911	2829	28	5
282919	2829	28	5
282990	2829	28	5
283010	2830	28	5
283020	2830	28	5
283030	2830	28	5
283090	2830	28	5
283110	2831	28	5
283190	2831	28	5
283210	2832	28	5
283220	2832	28	5
283230	2832	28	5
283311	2833	28	5
283319	2833	28	5
283321	2833	28	5
283322	2833	28	5
283323	2833	28	5
283324	2833	28	5
283325	2833	28	5
283326	2833	28	5
283327	2833	28	5
283329	2833	28	5
283330	2833	28	5
283340	2833	28	5
283410	2834	28	5
283421	2834	28	5
283422	2834	28	5
283429	2834	28	5
283510	2835	28	5
283521	2835	28	5
283522	2835	28	5
283523	2835	28	5
283524	2835	28	5
283525	2835	28	5
283526	2835	28	5
283529	2835	28	5
283531	2835	28	5
283539	2835	28	5
283610	2836	28	5
283620	2836	28	5
283630	2836	28	5
283640	2836	28	5
283650	2836	28	5
283660	2836	28	5
283670	2836	28	5
283691	2836	28	5
283692	2836	28	5
283693	2836	28	5
283699	2836	28	5
283711	2837	28	5
283719	2837	28	5
283720	2837	28	5
283800	2838	28	5
283911	2839	28	5
283919	2839	28	5
283920	2839	28	5
283990	2839	28	5
284011	2840	28	5
284019	2840	28	5
284020	2840	28	5
284030	2840	28	5
284110	2841	28	5
284120	2841	28	5
284130	2841	28	5
284140	2841	28	5
284150	2841	28	5
284160	2841	28	5
284170	2841	28	5
284180	2841	28	5
284190	2841	28	5
284210	2842	28	5
284290	2842	28	5
284310	2843	28	5
284321	2843	28	5
284329	2843	28	5
284330	2843	28	5
284390	2843	28	5
284410	2844	28	5
284420	2844	28	5
284430	2844	28	5
284440	2844	28	5
284450	2844	28	5
284510	2845	28	5
284590	2845	28	5
284610	2846	28	5
284690	2846	28	5
284700	2847	28	5
284810	2848	28	5
284890	2848	28	5
284910	2849	28	5
284920	2849	28	5
284990	2849	28	5
285000	2850	28	5
285100	2851	28	5
290110	2901	29	5
290121	2901	29	5
290122	2901	29	5
290123	2901	29	5
290124	2901	29	5
290129	2901	29	5
290211	2902	29	5
290219	2902	29	5
290220	2902	29	5
290230	2902	29	5
290241	2902	29	5
290242	2902	29	5
290243	2902	29	5
290244	2902	29	5
290250	2902	29	5
290260	2902	29	5
290270	2902	29	5
290290	2902	29	5
290311	2903	29	5
290312	2903	29	5
290313	2903	29	5
290314	2903	29	5
290315	2903	29	5
290316	2903	29	5
290319	2903	29	5
290321	2903	29	5
290322	2903	29	5
290323	2903	29	5
290329	2903	29	5
290330	2903	29	5
290340	2903	29	5
290351	2903	29	5
290359	2903	29	5
290361	2903	29	5
290362	2903	29	5
290369	2903	29	5
290410	2904	29	5
290420	2904	29	5
290490	2904	29	5
290511	2905	29	5
290512	2905	29	5
290513	2905	29	5
290514	2905	29	5
290515	2905	29	5
290516	2905	29	5
290517	2905	29	5
290519	2905	29	5
290521	2905	29	5
290522	2905	29	5
290529	2905	29	5
290531	2905	29	5
290532	2905	29	5
290539	2905	29	5
290541	2905	29	5
290542	2905	29	5
290543	2905	29	5
290544	2905	29	5
290549	2905	29	5
290550	2905	29	5
290611	2906	29	5
290612	2906	29	5
290613	2906	29	5
290614	2906	29	5
290619	2906	29	5
290621	2906	29	5
