"","code","level","parent_id","name_en","name_short_en","name_es","name_short_es","name"
82,"3159","class",79.0,"Cut and sew apparel accessories and other apparel manufacturing, not elsewhere classified","Cut and sew apparel accessories and other apparel manufacturing, not elsewhere classified","Confeccion de accesorios de vestir y otras prendas de vestir no clasificados en otra parte","Confeccion de accesorios de vestir y otras prendas de vestir no clasificados en otra parte","Cut and sew apparel accessories and other apparel manufacturing, not elsewhere classified"
83,"316","group",58.0,"Leather and fur tanning and finishing, and manufacturing of leather, fur and allied materials products","Leather and fur tanning and finishing, and manufacturing of leather, fur and allied materials products","Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos","Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos","Leather and fur tanning and finishing, and manufacturing of leather, fur and allied materials products"
84,"3161","class",83.0,"Leather and fur tanning and finishing","Leather and fur tanning and finishing","Curtido y acabado de cuero y piel","Curtido y acabado de cuero y piel","Leather and fur tanning and finishing"
85,"3162","class",83.0,"Footwear manufacturing","Footwear manufacturing","Fabricacion de calzado","Fabricacion de calzado","Footwear manufacturing"
86,"3169","class",83.0,"Manufacturing of other leather, fur and allied materials products","Manufacturing of other leather, fur and allied materials products","Fabricacion de otros productos de cuero, piel y materiales sucedaneos","Fabricacion de otros productos de cuero, piel y materiales sucedaneos","Manufacturing of other leather, fur and allied materials products"
87,"32","division",43.0,"Manufacturing 2","Manufacturing 2","Industrias manufactureras 2","Industrias manufactureras 2","Manufacturing 2"
88,"321","group",87.0,"Wood industry","Wood industry","Industria de la madera","Industria de la madera","Wood industry"
89,"3211","class",88.0,"Wood sawing and preservation","Wood sawing and preservation","Aserrado y conservacion de la madera","Aserrado y conservacion de la madera","Wood sawing and preservation"
90,"3212","class",88.0,"Wood laminates and fiberboard manufacturing","Wood laminates and fiberboard manufacturing","Fabricacion de laminados y aglutinados de madera","Fabricacion de laminados y aglutinados de madera","Wood laminates and fiberboard manufacturing"
91,"3219","class",88.0,"Other wood products manufacturing","Other wood products manufacturing","Fabricacion de otros productos de madera","Fabricacion de otros productos de madera","Other wood products manufacturing"
92,"322","group",87.0,"Paper industry","Paper industry","Industria del papel","Industria del papel","Paper industry"
