code	level	name_en	name_short_en	name_es	name_short_es
64121	level4	Printing paper and writing paper, in rolls or sheets; uncoated	Printing paper and writing paper, in rolls or sheets; uncoated		
64122	level4	Printing paper and writing paper, in rolls or sheets; coated, impregnated, surface-coloured, decorated or printed	Printing paper and writing paper, in rolls or sheets; coated, impregnated, surface-coloured, decorated or printed		
64131	level4	Kraft liner, in rolls or sheets	Kraft liner, in rolls or sheets		
64132	level4	Sack Kraft paper, in rolls or sheets	Sack Kraft paper, in rolls or sheets		
64139	level4	Kraft paper and paperboard, in rolls or sheets, nes	Kraft paper and paperboard, in rolls or sheets, nes		
64151	level4	Semi-chemical fluting paper, in rolls or sheets	Semi-chemical fluting paper, in rolls or sheets		
64152	level4	Sulphite wrapping paper, in roll or sheets	Sulphite wrapping paper, in roll or sheets		
64153	level4	Greaseproof paper and paperboard, etc, in rolls or sheets	Greaseproof paper and paperboard, etc, in rolls or sheets		
64159	level4	Other paper and paperboard, in rolls or sheets, nes	Other paper and paperboard, in rolls or sheets, nes		
64161	level4	Fibre building board of wood or other vegetable material; compressed (hardboard)	Fibre building board of wood or other vegetable material; compressed (hardboard)		
64162	level4	Fibre building board of wood or other vegetable material; non-compressed (insulating board, etc)	Fibre building board of wood or other vegetable material; non-compressed (insulating board, etc)		
64171	level4	Kraft paper, creped or crinkled, in rolls or sheet	Kraft paper, creped or crinkled, in rolls or sheet		
64172	level4	Paper, creped or crinkled, for household use, in rolls or sheets	Paper, creped or crinkled, for household use, in rolls or sheets		
64173	level4	Other creped or crinkled paper, in rolls or sheets	Other creped or crinkled paper, in rolls or sheets		
64174	level4	Paper and paperboard, corrugated, in rolls or sheets	Paper and paperboard, corrugated, in rolls or sheets		
64181	level4	Paper, etc, coated with artificial resins, in rolls or sheets	Paper, etc, coated with artificial resins, in rolls or sheets		
64182	level4	Paper and paperboard, tarred, asphalted, etc, in rolls or sheets	Paper and paperboard, tarred, asphalted, etc, in rolls or sheets		
64189	level4	Paper and paperboard, coated, etc, nes, in rolls or sheets	Paper and paperboard, coated, etc, nes, in rolls or sheets		
64192	level4	Composite paper and paperboard not coated, etc, in rolls or sheets	Composite paper and paperboard not coated, etc, in rolls or sheets		
64196	level4	Filter blocks, slabs and plates, of paper pulp	Filter blocks, slabs and plates, of paper pulp		
64197	level4	Wallpaper and lincrusta; window transparencies of paper	Wallpaper and lincrusta; window transparencies of paper		
64241	level4	Cigarette paper, precut, in booklets or tubes	Cigarette paper, precut, in booklets or tubes		
64242	level4	Copying papers and transfer papers cut to size	Copying papers and transfer papers cut to size		
64243	level4	Toilet paper cut to size, in rolls or in sheets	Toilet paper cut to size, in rolls or in sheets		
64244	level4	Gummed or adhesive paper in strip or rolls	Gummed or adhesive paper in strip or rolls		
