"","name","level","code","parent_id"
163,"Confección De Artículos Con Materiales Textiles, Excepto Prendas De Vestir","class","1392",162.0
164,"Mantenimiento Y Reparación De Otros Tipos De Equipos Y Sus Componentes N.C.P.","class","3319",162.0
165,"Fabricación De Tapetes Y Alfombras Para Pisos","class","1393",162.0
166,"Fabricación De Cuerdas, Cordeles, Cables, Bramantes Y Redes","class","1394",162.0
167,"Fabricación De Otros Artículos Textiles N.C.P.","class","1399",162.0
168,"Fabricación De Otros Artículos De Papel Y Cartón","class","1709",162.0
169,"Fabricación De Artículos De Punto Y Ganchillo","group","143",151.0
170,"Fabricación De Tejidos De Punto Y Ganchillo","class","1391",169.0
171,"Fabricación De Artículos De Punto Y Ganchillo","class","1430",169.0
172,"Curtido Y Recurtido De Cueros; Fabricación De Calzado; Fabricación De Artículos De Viaje, Maletas, Bolsos De Mano Y Artículos Similares, Y Fabricación De Artículos De Talabartería Y Guarnicionería; Adobo Y Teñido De Pieles","division","15",105.0
173,"Confección De Prendas De Vestir, Excepto Prendas De Piel","group","141",172.0
174,"Otras Industrias Manufactureras N.C.P.","group","329",172.0
175,"Confección De Prendas De Vestir, Excepto Prendas De Piel","class","1410",174.0
176,"Otras Industrias Manufactureras N.C.P.","class","3290",174.0
177,"Fabricación De Artículos De Piel","group","142",172.0
178,"Curtido Y Recurtido De Cueros; Fabricación De Artículos De Viaje, Bolsos De Mano Y Artículos Similares, Y Fabricación De Artículos De Talabartería Y Guarnicionería; Adobo Y Teñido De Pieles","group","151",172.0
179,"Fabricación De Artículos De Piel","class","1420",178.0
180,"Curtido Y Recurtido De Cueros; Recurtido Y Teñido De Pieles","class","1511",178.0
181,"Transformación De La Madera Y Fabricación De Productos De Madera Y De Corcho, Excepto Muebles; Fabricación De Artículos De Cestería Y Espartería","division","16",105.0
182,"Fabricación De Productos De Caucho Y De Plástico","division","22",105.0
183,"Fabricación De Calzado","group","152",182.0
184,"Fabricación De Otros Productos De Madera; Fabricación De Artículos De Corcho, Cestería Y Espartería","group","169",182.0
185,"Fabricación De Productos De Caucho","group","221",182.0
186,"Fabricación De Productos De Plástico","group","222",182.0
187,"Fabricación De Artículos Y Equipo Para La Práctica Del Deporte","group","323",182.0
188,"Fabricación De Calzado De Cuero Y Piel, Con Cualquier Tipo De Suela","class","1521",187.0
189,"Fabricación De Otros Tipos De Calzado, Excepto Calzado De Cuero Y Piel","class","1522",187.0
190,"Fabricación De Artículos Y Equipo Para La Práctica Del Deporte","class","3230",187.0
191,"Fabricación De Partes Del Calzado","class","1523",187.0
192,"Fabricación De Otros Productos De Madera; Fabricación De Artículos De Corcho, Cestería Y Espartería","class","1690",187.0
193,"Fabricación De Formas Básicas De Caucho Y Otros Productos De Caucho N.C.P.","class","2219",187.0
194,"Fabricación De Artículos De Plástico N.C.P.","class","2229",187.0
195,"Fabricación De Artículos De Viaje, Bolsos De Mano Y Artículos Similares Elaborados En Cuero, Y Fabricación De Artículos De Talabartería Y Guarnicionería","class","1512",187.0
196,"Fabricación De Artículos De Viaje, Bolsos De Mano Y Artículos Similares; Artículos De Talabartería Y Guarnicionería Elaborados En Otros Materiales","class","1513",187.0
197,"Aserrado, Acepillado E Impregnación De La Madera","group","161",182.0
198,"Aserrado, Acepillado E Impregnación De La Madera","class","1610",197.0
199,"Fabricación De Hojas De Madera Para Enchapado; Fabricación De Tableros Contrachapados, Tableros Laminados, Tableros De Partículas Y Otros Tableros Y Paneles","group","162",182.0
200,"Fabricación De Hojas De Madera Para Enchapado; Fabricación De Tableros Contrachapados, Tableros Laminados, Tableros De Partículas Y Otros Tableros Y Paneles","class","1620",199.0
201,"Fabricación De Partes Y Piezas De Madera, De Carpintería Y Ebanistería Para La Construcción","group","163",182.0
202,"Fabricación De Partes Y Piezas De Madera, De Carpintería Y Ebanistería Para La Construcción","class","1630",201.0
203,"Fabricación De Recipientes De Madera","group","164",182.0
204,"Fabricación De Recipientes De Madera","class","1640",203.0
205,"Fabricación De Pulpas (Pastas) Celulósicas; Papel Y Cartón","class","1701",203.0
206,"Fabricación De Papel Y Cartón Ondulado (Corrugado); Fabricación De Envases, Empaques Y De Embalajes De Papel Y Cartón","class","1702",203.0
207,"Actividades De Edición","division","58",105.0
208,"Actividades Cinematográficas, De Video Y Producción De Programas De Televisión, Grabación De Sonido Y Edición De Música","division","59",105.0
209,"Edición De Libros, Publicaciones Periódicas Y Otras Actividades De Edición","group","581",208.0
210,"Actividades De Grabación De Sonido Y Edición De Música","group","592",208.0
211,"Edición De Libros","class","5811",210.0
212,"Edición De Directorios Y Listas De Correo","class","5812",210.0
213,"Actividades De Grabación De Sonido Y Edición De Música","class","5920",210.0
214,"Edición De Periódicos, Revistas Y Otras Publicaciones Periódicas","class","5813",210.0
215,"Otros Trabajos De Edición","class","5819",210.0
216,"Actividades De Servicios Relacionados Con La Impresión","class","1812",210.0
217,"Producción De Copias A Partir De Grabaciones Originales","group","182",208.0
218,"Producción De Copias A Partir De Grabaciones Originales","class","1820",217.0
219,"Fabricación De Productos Metalúrgicos Básicos","division","24",105.0
220,"Recolección, Tratamiento Y Disposición De Desechos, Recuperación De Materiales","division","38",105.0
221,"Fabricación De Productos De Hornos De Coque","group","191",220.0
222,"Fabricación De Productos De Hornos De Coque","class","1910",221.0
223,"Fabricación De Productos Farmacéuticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmacéutico","group","210",220.0
224,"Industrias Básicas De Metales Preciosos Y De Metales No Ferrosos","group","242",220.0
225,"Recolección De Desechos","group","381",220.0
226,"Tratamiento Y Disposición De Desechos","group","382",220.0
227,"Fabricación De Productos Farmacéuticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmacéutico","class","2100",226.0
228,"Industrias Básicas De Otros Metales No Ferrosos","class","2429",226.0
229,"Recolección De Desechos Peligrosos","class","3812",226.0
230,"Tratamiento Y Disposición De Desechos Peligrosos","class","3822",226.0
231,"Fabricación De Productos Farmacéuticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmacéutico","division","21",105.0
232,"Fabricación De Productos Informáticos, Electrónicos Y Ópticos","division","26",105.0
233,"Fabricación De Abonos Y Compuestos Inorgánicos Nitrogenados","class","2012",226.0
234,"Tratamiento Y Disposición De Desechos No Peligrosos","class","3821",226.0
235,"Fabricación De Plásticos En Formas Primarias","class","2013",226.0
236,"Fabricación De Caucho Sintético En Formas Primarias","class","2014",226.0
237,"Fabricación De Otros Productos Químicos","group","202",232.0
238,"Fabricación De Medios Magnéticos Y Ópticos Para Almacenamiento De Datos","group","268",232.0
239,"Fabricación De Maquinaria Y Equipo De Uso General","group","281",232.0
240,"Fabricación De Plaguicidas Y Otros Productos Químicos De Uso Agropecuario","class","2021",239.0
241,"Fabricación De Pinturas, Barnices Y Revestimientos Similares, Tintas Para Impresión Y Masillas","class","2022",239.0
242,"Fabricación De Jabones Y Detergentes, Preparados Para Limpiar Y Pulir; Perfumes Y Preparados De Tocador","class","2023",239.0
243,"Fabricación De Otros Productos Químicos N.C.P.","class","2029",239.0
244,"Fabricación De Medios Magnéticos Y Ópticos Para Almacenamiento De Datos","class","2680",239.0
245,"Fabricación De Maquinaria Y Equipo De Oficina (Excepto Computadoras Y Equipo Periférico)","class","2817",239.0
246,"Fabricación De Fibras Sintéticas Y Artificiales","group","203",232.0
247,"Fabricación De Fibras Sintéticas Y Artificiales","class","2030",246.0
248,"Fabricación De Aparatos Y Equipo Eléctrico","division","27",105.0
249,"Fabricación De Maquinaria Y Equipo N.C.P.","division","28",105.0
250,"Fabricación De Llantas Y Neumáticos De Caucho","class","2211",246.0
251,"Reencauche De Llantas Usadas","class","2212",246.0
252,"Fabricación De Equipos De Potencia Hidráulica Y Neumática","class","2812",246.0
253,"Fabricación De Componentes Y Tableros Electrónicos","group","261",249.0
254,"Fabricación De Hilos Y Cables Aislados Y Sus Dispositivos","group","273",249.0
255,"Fabricación De Formas Básicas De Plástico","class","2221",254.0
256,"Fabricación De Componentes Y Tableros Electrónicos","class","2610",254.0
257,"Fabricación De Dispositivos De Cableado","class","2732",254.0
258,"Fabricación De Otros Productos Minerales No Metálicos","division","23",105.0
259,"Fabricación De Vidrio Y Productos De Vidrio","group","231",258.0
260,"Fabricación De Vidrio Y Productos De Vidrio","class","2310",259.0
261,"Fabricación De Productos Minerales No Metálicos N.C.P.","group","239",258.0
