code	level	name_sp_full	name_es	name_short_es	name_en	name_short_en
7210	class	Consultores en equipo de informática	Consultores en equipo de informática	Consultores en equipo de informática	Computer consultants	Computer consultants
7220	class	Consultores en programas de informática y suministro de programas de informática	Consultores en programas de informática y suministro de programas de informática	Consultores y programas de informática	Software consultancy and supply	Software consultancy and supply
7230	class	Procesamiento de datos	Procesamiento de datos	Procesamiento de datos	Data processing	Data processing
7240	class	Actividades relacionadas con bases de datos	Actividades relacionadas con bases de datos	Actividades relacionadas con bases de datos	Data base activities	Data base activities
7250	class	Mantenimiento y reparación de maquinaria de oficina, contabilidad e informática	Mantenimiento y reparación de maquinaria de oficina, contabilidad e informática	Mantenimiento y reparación de maquinaria de oficina	Maintenance and repair of office machinery	Maintenance and repair of office machinery
7290	class	Otras actividades de informática	Otras actividades de informática	Otras actividades de informática	Other computer related activities	Other computer related activities
7310	class	Investigación y desarrollo experimental en el campo de las ciencias naturales y la ingeniería	Investigación y desarrollo experimental en el campo de las ciencias naturales y la ingeniería	Investigación en ciencias naturales y ingeniería	Research and experimental development on natural sciences and engineering	Research in natural sciences and engineering
7320	class	Investigación y desarrollo experimental en el campo de las ciencias sociales y las humanidades	Investigación y desarrollo experimental en el campo de las ciencias sociales y las humanidades	Investigación en ciencias sociales y las humanidades	Research and experimental development on social sciences and humanities	Research in social sciences and humanities
7411	class	Actividades jurídicas	Actividades jurídicas	Actividades jurídicas	Legal activities	Legal activities
7412	class	Actividades de contabilidad, teneduría de libros y auditoría; asesoramiento en materia de impuestos	Actividades de contabilidad, teneduría de libros y auditoría; asesoramiento en materia de impuestos	Actividades de contabilidad	Accounting, book-keeping and auditing activities; tax consultancy	Accounting
7413	class	Investigación de mercados y realización de encuestas de opinión pública	Investigación de mercados y realización de encuestas de opinión pública	Investigación de mercados y opinión pública	Market research and public opinion polling	Market research and public opinion polling
7414	class	Actividades de asesoramiento empresarial y en materia de gestión	Asesoramiento empresarial y en materia de gestión	Asesoramiento empresarial	Business and management consultancy activities	Business/management consultancy
7421	class	Actividades de arquitectura e ingeniería y actividades conexas de asesoramiento técnico	Actividades de arquitectura e ingeniería y actividades conexas de asesoramiento técnico	Arquitectura e ingeniería	Architectural/engineering activities; related consultancy	Architectural, engineering and other technical
7422	class	Ensayos y análisis técnicos	Ensayos y análisis técnicos	Ensayos y análisis técnicos	Technical testing and analysis	Technical testing and analysis
7430	class	Publicidad	Publicidad	Publicidad	Advertising	Advertising
7491	class	Obtención y suministro de personal	Obtención y suministro de personal	Obtención y suministro de personal	Labour recruitment and provision of personnel	Labour recruitment and provision of personnel
7492	class	Actividades de investigación y seguridad	Actividades de investigación y seguridad	Actividades de investigación y seguridad	Investigation and security activities	Investigation and security activities
