"","code","name","level","name_en","name_es","parent_id"
128,"bacuri","Bacuri","level3","Bacuri","Bacuri",123.0
129,"badea","Badea","level3","Badea","Badea",123.0
130,"borojo","Borojo","level3","Borojo","Borojo",123.0
131,"caimo","Caimo","level3","Caimo","Caimo",123.0
132,"chamba","Chamba","level3","Chamba","Chamba",123.0
133,"chirimoya","Chirimoya","level3","Chirimoya","Chirimoya",123.0
134,"cholupa","Cholupa","level3","Cholupa","Cholupa",123.0
135,"chontaduro","Chontaduro","level3","Chontaduro","Chontaduro",123.0
136,"cocona","Cocona","level3","Cocona","Cocona",123.0
137,"copoazu","Copoazu","level3","Copoazu","Copoazu",123.0
138,"corozo","Corozo","level3","Corozo","Corozo",123.0
139,"datil","Datil","level3","Datil","Datil",123.0
140,"guama","Guama","level3","Guama","Guama",123.0
141,"gulupa","Gulupa","level3","Gulupa","Gulupa",123.0
142,"higo","Higo","level3","Higo","Higo",123.0
143,"mamoncillo","Mamoncillo","level3","Mamoncillo","Mamoncillo",123.0
144,"mangostino","Mangostino","level3","Mangostino","Mangostino",123.0
145,"pepa de pan","Pepa De Pan","level3","Pepa De Pan","Pepa De Pan",123.0
146,"pitahaya","Pitahaya","level3","Pitahaya","Pitahaya",123.0
147,"pomarrosa","Pomarrosa","level3","Pomarrosa","Pomarrosa",123.0
148,"tamarindo","Tamarindo","level3","Tamarindo","Tamarindo",123.0
149,"uchuva","Uchuva","level3","Uchuva","Uchuva",123.0
150,"umari","Umari","level3","Umari","Umari",123.0
151,"uva caimarona","Uva Caimarona","level3","Uva Caimarona","Uva Caimarona",123.0
152,"frutales varios","Frutales Varios","level2","Frutales Varios","Frutales Varios",69.0
153,"frutales varios","Frutales Varios","level3","Frutales Varios","Frutales Varios",152.0
154,"granadilla","Granadilla","level2","Granadilla","Granadilla",69.0
155,"granadilla","Granadilla","level3","Granadilla","Granadilla",154.0
156,"guanabana","Guanabana","level2","Guanabana","Guanabana",69.0
157,"guanabana","Guanabana","level3","Guanabana","Guanabana",156.0
158,"guayaba","Guayaba","level2","Guayaba","Guayaba",69.0
159,"guayaba","Guayaba","level3","Guayaba","Guayaba",158.0
160,"guayaba manzana","Guayaba Manzana","level3","Guayaba Manzana","Guayaba Manzana",158.0
161,"guayaba pera","Guayaba Pera","level3","Guayaba Pera","Guayaba Pera",158.0
162,"lulo","Lulo","level2","Lulo","Lulo",69.0
163,"lulo","Lulo","level3","Lulo","Lulo",162.0
164,"mamey","Mamey","level2","Mamey","Mamey",69.0
165,"mamey","Mamey","level3","Mamey","Mamey",164.0
166,"mango","Mango","level2","Mango","Mango",69.0
167,"mango","Mango","level3","Mango","Mango",166.0
168,"mango injerto","Mango Injerto","level3","Mango Injerto","Mango Injerto",166.0
169,"maracuya","Maracuya","level2","Maracuya","Maracuya",69.0
170,"maracuya","Maracuya","level3","Maracuya","Maracuya",169.0
171,"melon","Melon","level2","Melon","Melon",69.0
172,"melon","Melon","level3","Melon","Melon",171.0
173,"mora","Mora","level2","Mora","Mora",69.0
174,"mora","Mora","level3","Mora","Mora",173.0
175,"noni","Noni","level2","Noni","Noni",69.0
176,"noni","Noni","level3","Noni","Noni",175.0
177,"nueces","Nueces","level2","Nueces","Nueces",69.0
178,"macadamia","Macadamia","level3","Macadamia","Macadamia",177.0
179,"maraãon","Maraãon","level3","Maraãon","Maraãon",177.0
180,"papaya","Papaya","level2","Papaya","Papaya",69.0
181,"papaya","Papaya","level3","Papaya","Papaya",180.0
182,"papaya hawaiana","Papaya Hawaiana","level3","Papaya Hawaiana","Papaya Hawaiana",180.0
183,"papayuela","Papayuela","level3","Papayuela","Papayuela",180.0
184,"patilla","Patilla","level2","Patilla","Patilla",69.0
185,"patilla","Patilla","level3","Patilla","Patilla",184.0
186,"piãa","Piãa","level2","Piãa","Piãa",69.0
187,"piãa","Piãa","level3","Piãa","Piãa",186.0
188,"rambutan","Rambutan","level2","Rambutan","Rambutan",69.0
189,"rambutan","Rambutan","level3","Rambutan","Rambutan",188.0
190,"tomate de arbol","Tomate De Arbol","level2","Tomate De Arbol","Tomate De Arbol",69.0
191,"tomate de arbol","Tomate De Arbol","level3","Tomate De Arbol","Tomate De Arbol",190.0
192,"uva","Uva","level2","Uva","Uva",69.0
193,"uva","Uva","level3","Uva","Uva",192.0
