"","code","name","level","name_en","name_es","parent_id"
141,"gulupa","Poro poro","level3","Poro poro","Gulupa",123.0
142,"higo","Fig","level3","Fig","Higo",123.0
143,"mamoncillo","Spanish lime","level3","Spanish lime","Mamoncillo",123.0
144,"mangostino","Mangosteen","level3","Mangosteen","Mangostino",123.0
145,"pepa_de_pan","Breadfruit","level3","Breadfruit","Pepa De Pan",123.0
146,"pitahaya","Dragon fruit","level3","Dragon fruit","Pitahaya",123.0
147,"pomarrosa","Mountain apple","level3","Mountain apple","Pomarrosa",123.0
148,"tamarindo","Tamarind","level3","Tamarind","Tamarindo",123.0
149,"uchuva","Cape gooseberry","level3","Cape gooseberry","Uchuva",123.0
150,"umari","Guacure","level3","Guacure","Umari",123.0
151,"uva_caimarona","Caimarona grape","level3","Caimarona grape","Uva Caimarona",123.0
152,"frutales_varios","Various Fruits","level2","Various Fruits","Frutales Varios",69.0
153,"frutales_varios","Various fruits","level3","Various fruits","Frutales Varios",152.0
154,"granadilla","Wweet Granadilla","level2","Wweet Granadilla","Granadilla",69.0
155,"granadilla","Sweet granadilla","level3","Sweet granadilla","Granadilla",154.0
156,"guanabana","Soursoup","level2","Soursoup","Guanábana",69.0
157,"guanabana","Soursoup","level3","Soursoup","Guanábana",156.0
158,"guayaba","Guava","level2","Guava","Guayaba",69.0
159,"guayaba","Guava","level3","Guava","Guayaba",158.0
160,"guayaba_manzana","Apple guava","level3","Apple guava","Guayaba Manzana",158.0
161,"guayaba_pera","Pear guava","level3","Pear guava","Guayaba Pera",158.0
162,"lulo","Little Orange","level2","Little Orange","Lulo",69.0
163,"lulo","Little orange","level3","Little orange","Lulo",162.0
164,"mamey","Mammee Apple","level2","Mammee Apple","Mamey",69.0
165,"mamey","Mammee apple","level3","Mammee apple","Mamey",164.0
166,"mango","Mango","level2","Mango","Mango",69.0
167,"mango","Mango","level3","Mango","Mango",166.0
168,"mango_injerto","Handle graft mango","level3","Handle graft mango","Mango Injerto",166.0
169,"maracuya","Passionfruit","level2","Passionfruit","Maracuyá",69.0
170,"maracuya","Passionfruit","level3","Passionfruit","Maracuyá",169.0
171,"melon","Muskmelon","level2","Muskmelon","Melón",69.0
172,"melon","Muskmelon","level3","Muskmelon","Melón",171.0
173,"mora","Thornless Blackberry","level2","Thornless Blackberry","Mora",69.0
174,"mora","Thornless blackberry","level3","Thornless blackberry","Mora",173.0
175,"noni","Indian Mulberry","level2","Indian Mulberry","Noni",69.0
176,"noni","Indian mulberry","level3","Indian mulberry","Noni",175.0
177,"nueces","Nuts","level2","Nuts","Nueces",69.0
178,"macadamia","Macadamia nut","level3","Macadamia nut","Macadamia",177.0
179,"maraon","Cashew","level3","Cashew","Marañón",177.0
180,"papaya","Papaya","level2","Papaya","Papaya",69.0
181,"papaya","Papaya","level3","Papaya","Papaya",180.0
182,"papaya_hawaiana","Hawaian papaya","level3","Hawaian papaya","Papaya Hawaiana",180.0
183,"papayuela","Mountain papaya","level3","Mountain papaya","Papayuela",180.0
184,"patilla","Pin","level2","Pin","Patilla",69.0
185,"patilla","Pin","level3","Pin","Patilla",184.0
186,"pia","Pineapple","level2","Pineapple","Piña",69.0
187,"pia","Pineapple","level3","Pineapple","Piña",186.0
188,"rambutan","Rambutan","level2","Rambutan","Rambután",69.0
189,"rambutan","Rambutan","level3","Rambutan","Rambután",188.0
190,"tomate_de_arbol","Tamarillo","level2","Tamarillo","Tomate De Árbol",69.0
191,"tomate_de_arbol","Tamarillo","level3","Tamarillo","Tomate De Árbol",190.0
192,"uva","Grape","level2","Grape","Uva",69.0
193,"uva","Grape","level3","Grape","Uva",192.0
194,"zapote","Sapodilla","level2","Sapodilla","Zapote",69.0
195,"zapote","Sapodilla","level3","Sapodilla","Zapote",194.0
196,"hongos","Mushrooms","level1","Mushrooms","Hongos",0.0
197,"champion","Mushroom","level2","Mushroom","Champiñón",196.0
198,"champion","Mushroom","level3","Mushroom","Champiñón",197.0
199,"orellana","Orellana","level2","Orellana","Orellana",196.0
200,"orellana","Orellana","level3","Orellana","Orellana",199.0
201,"hortalizas","Vegetables","level1","Vegetables","Hortalizas",0.0
202,"acelga","Chard","level2","Chard","Acelga",201.0
203,"acelga","Chard","level3","Chard","Acelga",202.0
204,"ahuyama","Squash","level2","Squash","Ahuyama",201.0
205,"ahuyama","Squash","level3","Squash","Ahuyama",204.0
206,"aji","Chili Peppers","level2","Chili Peppers","Ají",201.0
207,"aji","Chili peppers","level3","Chili peppers","Ají",206.0
208,"aji_dulce","Sweet chili","level3","Sweet chili","Ají Dulce",206.0
209,"aji_tabasco","Tabasco chili","level3","Tabasco chili","Ají Tabasco",206.0
210,"ajo","Garlic","level2","Garlic","Ajo",201.0
211,"ajo","Garlic","level3","Garlic","Ajo",210.0
212,"alcachofa","Artichoke","level2","Artichoke","Alcachofa",201.0
213,"alcachofa","Artichoke","level3","Artichoke","Alcachofa",212.0
214,"apio","Celery","level2","Celery","Apio",201.0
215,"apio","Celery","level3","Celery","Apio",214.0
216,"berenjena","Aubergine","level2","Aubergine","Berenjena",201.0
217,"berenjena","Aubergine","level3","Aubergine","Berenjena",216.0
218,"brocoli","Broccoli","level2","Broccoli","Brocoli",201.0
219,"brocoli","Broccoli","level3","Broccoli","Brocoli",218.0
220,"calabacin","Zucchini","level2","Zucchini","Calabacín",201.0
221,"calabacin","Zucchini","level3","Zucchini","Calabacín",220.0
222,"calabaza","Pumpkin","level2","Pumpkin","Calabaza",201.0
223,"calabaza","Pumpkin","level3","Pumpkin","Calabaza",222.0
224,"cebolla","Onion","level2","Onion","Cebolla",201.0
225,"cebolla_de_bulbo","Onion Bulb","level3","Onion Bulb","Cebolla De Bulbo",224.0
226,"cebolla_de_rama","Branch Onion","level3","Branch Onion","Cebolla De Rama",224.0
227,"cebollin","Scallions","level3","Scallions","Cebollín",224.0
228,"cilantro","Coriander","level2","Coriander","Cilantro",201.0
229,"cilantro","Coriander","level3","Coriander","Cilantro",228.0
230,"col","Cole","level2","Cole","Col",201.0
231,"col","Cole","level3","Cole","Col",230.0
232,"coliflor","Cauliflower","level3","Cauliflower","Coliflor",230.0
233,"esparrago","Asparagus","level2","Asparagus","Espárrago",201.0
234,"esparrago","Asparagus","level3","Asparagus","Espárrago",233.0
235,"espinaca","Spinach","level2","Spinach","Espinaca",201.0
236,"espinaca","Spinach","level3","Spinach","Espinaca",235.0
237,"guatila","Chow Chow","level2","Chow Chow","Guatila",201.0
238,"guatila","Chow chow","level3","Chow chow","Guatila",237.0
239,"hortalizas_varias","Various Vegetables","level2","Various Vegetables","Hortalizas Varias",201.0
240,"hortalizas_varias","Various Vegetables","level3","Various Vegetables","Hortalizas Varias",239.0
241,"lechuga","Lettuce","level2","Lettuce","Lechuga",201.0
242,"lechuga","Lettuce","level3","Lettuce","Lechuga",241.0
243,"nabo","Turnip","level2","Turnip","Nabo",201.0
244,"nabo","Turnip","level3","Turnip","Nabo",243.0
245,"palmito","Palm Heart","level2","Palm Heart","Palmito",201.0
246,"palmito","Palm Heart","level3","Palm Heart","Palmito",245.0
247,"pepino","Cucumber","level2","Cucumber","Pepino",201.0
248,"pepino_cohombro","Cohombro Cucumber","level3","Cohombro Cucumber","Pepino Cohombro",247.0
249,"pepino_guiso","Cucumber Stew","level3","Cucumber Stew","Pepino Guiso",247.0
250,"pimenton","Cayenne","level2","Cayenne","Pimentón",201.0
251,"pimenton","Cayenne","level3","Cayenne","Pimentón",250.0
252,"puerro","Leek","level2","Leek","Puerro",201.0
253,"puerro","Leek","level3","Leek","Puerro",252.0
254,"rabano","Radish","level2","Radish","Rábano",201.0
255,"rabano","Radish","level3","Radish","Rábano",254.0
256,"remolacha","Beetroot","level2","Beetroot","Remolacha",201.0
257,"remolacha","Beetroot","level3","Beetroot","Remolacha",256.0
258,"repollo","Cabbage","level2","Cabbage","Repollo",201.0
259,"repollo","Cabbage","level3","Cabbage","Repollo",258.0
260,"tomate","Tomato","level2","Tomato","Tomate",201.0
261,"tomate","Tomato","level3","Tomato","Tomate",260.0
262,"tomate_invernadero","Greenhouse Tomato","level3","Greenhouse Tomato","Tomate Invernadero",260.0
263,"zanahoria","Carrot","level2","Carrot","Zanahoria",201.0
264,"zanahoria","Carrot","level3","Carrot","Zanahoria",263.0
265,"leguminosas","Legumes","level1","Legumes","Leguminosas",0.0
266,"alfalfa","Lucerne","level2","Lucerne","Alfalfa",265.0
267,"alfalfa","Lucerne","level3","Lucerne","Alfalfa",266.0
268,"arveja","Pea","level2","Pea","Arveja",265.0
269,"arveja","Pea","level3","Pea","Arveja",268.0
270,"chachafruto","Basul","level2","Basul","Chachafruto",265.0
271,"chachafruto","Basul","level3","Basul","Chachafruto",270.0
272,"frijol","Beans","level2","Beans","Frijol",265.0
273,"frijol","Beans","level3","Beans","Frijol",272.0
274,"frijol_arbustivo","Bush Beans","level3","Bush Beans","Frijol Arbustivo",272.0
275,"frijol_ladera","Slope Beans","level3","Slope Beans","Frijol Ladera",272.0
276,"frijol_plana","Plain Beans","level3","Plain Beans","Frijol Plana",272.0
277,"frijol_voluble","Climbing Beans","level3","Climbing Beans","Frijol Voluble",272.0
278,"garbanzo","Chickpea","level2","Chickpea","Garbanzo",265.0
279,"garbanzo","Chickpea","level3","Chickpea","Garbanzo",278.0
280,"guandul","Pigeon Pea","level2","Pigeon Pea","Guandul",265.0
281,"guandul","Pigeon Pea","level3","Pigeon Pea","Guandul",280.0
282,"haba","Broad Bean","level2","Broad Bean","Haba",265.0
283,"haba","Broad Bean","level3","Broad Bean","Haba",282.0
284,"habichuela","Pea Bean","level2","Pea Bean","Habichuela",265.0
285,"habichuela","Pea Bean","level3","Pea Bean","Habichuela",284.0
286,"lenteja","Lentil","level2","Lentil","Lenteja",265.0
287,"lenteja","Lentil","level3","Lentil","Lenteja",286.0
288,"mani","Peanut","level2","Peanut","Maní",265.0
289,"mani","Peanut","level3","Peanut","Maní",288.0
290,"soya","Soy","level2","Soy","Soya",265.0
291,"soya","Soy","level3","Soy","Soya",290.0
292,"oleaginosas","Oleaginous","level1","Oleaginous","Oleaginosas",0.0
293,"ajonjoli","Sesame","level2","Sesame","Ajonjoli",292.0
294,"ajonjoli","Sesame","level3","Sesame","Ajonjoli",293.0
295,"higuerilla","Castor Oil Plant","level2","Castor Oil Plant","Higuerilla",292.0
296,"higuerilla","Castor Oil Plant","level3","Castor Oil Plant","Higuerilla",295.0
297,"jatropha","Purging Nut","level2","Purging Nut","Jatropha",292.0
298,"jatropha","Purging Nut","level3","Purging Nut","Jatropha",297.0
299,"palma_de_aceite","Oil Palm","level2","Oil Palm","Palma De Aceite",292.0
300,"palma_de_aceite","Oil Palm","level3","Oil Palm","Palma De Aceite",299.0
301,"sacha_inchi","Inchi Sacha","level2","Inchi Sacha","Sacha Inchi",292.0
302,"sacha_inchi","Inchi Sacha","level3","Inchi Sacha","Sacha Inchi",301.0
303,"otros_permanentes","Other Permanent","level1","Other Permanent","Otros Permanentes",0.0
304,"cacao","Cocoa","level2","Cocoa","Cacao",303.0
305,"cacao","Cocoa","level3","Cocoa","Cacao",304.0
306,"cafe","Coffee","level2","Coffee","Café",303.0
307,"cafe","Coffee","level3","Coffee","Café",306.0
308,"caa","Cane","level2","Cane","Caña",303.0
309,"caa_azucarera","Sugar Cane (Green Material)","level3","Sugar Cane (Green Material)","Caña De Azúcar (Material Verde)",308.0
310,"caa_miel","Honey Cane","level3","Honey Cane","Caña Miel",308.0
311,"caa_panelera","Panela Cane","level3","Panela Cane","Caña Panelera",308.0
312,"morera","Mulberry","level2","Mulberry","Morera",303.0
313,"morera","Mulberry","level3","Mulberry","Morera",312.0
314,"tabaco","Tabacco","level2","Tabacco","Tabaco",303.0
315,"tabaco_negro","Black Tabacco","level3","Black Tabacco","Tabaco Negro",314.0
316,"tabaco_rubio","Blond Tabacco","level3","Blond Tabacco","Tabaco Rubio",314.0
317,"plantas_aromaticas_condimentarias_y_medicinales","Aromatic, Medicinal, And Flavour Plants","level1","Aromatic, Medicinal, And Flavour Plants","Plantas Aromáticas, Condimentarias Y Medicinales",0.0
318,"otras_plantas_aromaticas_y_medicinales","Other Aromatic And Medicinal Plants","level2","Other Aromatic And Medicinal Plants","Otras Plantas Aromáticas y Medicinales",317.0
319,"plantas_aromaticas_y_medicinales","Medicinal and Aromatic Plants","level3","Medicinal and Aromatic Plants","Plantas Aromáticas Y Medicinales",318.0
320,"plantas_aromaticas","Aromatic Plants","level2","Aromatic Plants","Plantas Aromáticas",317.0
321,"albahaca","Basil","level3","Basil","Albahaca",320.0
322,"anis","Anise","level3","Anise","Anís",320.0
323,"cardamomo","Cardamom","level3","Cardamom","Cardamomo",320.0
324,"chiraran","Chiraran","level3","Chiraran","Chiraran",320.0
325,"eneldo","Dill","level3","Dill","Eneldo",320.0
326,"flor_de_jamaica","Jamaica Flower","level3","Jamaica Flower","Flor De Jamaica",320.0
327,"hierbabuena","Peppermint","level3","Peppermint","Hierbabuena",320.0
328,"limonaria","Lemongrass","level3","Lemongrass","Limonaria",320.0
329,"manzanilla","Chamomile","level3","Chamomile","Manzanilla",320.0
330,"menta","Mint","level3","Mint","Menta",320.0
331,"oregano","Oregano","level3","Oregano","Orégano",320.0
332,"plantas_aromaticas","Aromatic Plants","level3","Aromatic Plants","Plantas Aromáticas",320.0
333,"poleo","Pennyroyal","level3","Pennyroyal","Poleo",320.0
334,"romero","Rosemary","level3","Rosemary","Romero",320.0
335,"te","Tea","level3","Tea","Té",320.0
336,"plantas_condimentarias","Flavour Plants","level2","Flavour Plants","Plantas Condimentarias",317.0
337,"achiote_bija","Annato","level3","Annato","Achiote (Bija)",336.0
338,"chillangua","Mexican Coriander","level3","Mexican Coriander","Chillangua",336.0
339,"cimarron","Cimarron","level3","Cimarron","Cimarrón",336.0
340,"curcuma","Turmeric","level3","Turmeric","Curcuma",336.0
341,"jengibre","Ginger","level3","Ginger","Jengibre",336.0
342,"laurel","Laurel","level3","Laurel","Laurel",336.0
343,"perejil","Parsley","level3","Parsley","Perejil",336.0
344,"pimienta","Pepper","level3","Pepper","Pimienta",336.0
345,"tomillo","Thyme","level3","Thyme","Tomillo",336.0
346,"vainilla","Vanilla","level3","Vanilla","Vainilla",336.0
347,"plantas_medicinales","Medicinal Plants","level2","Medicinal Plants","Plantas Medicinales",317.0
348,"achicoria","Chicory","level3","Chicory","Achicoria",347.0
349,"calendula","Marigold","level3","Marigold","Caléndula",347.0
350,"canyarana","Canyarana","level3","Canyarana","Canyarana",347.0
351,"plantas_medicinales","Medicinal Plants","level3","Medicinal Plants","Plantas Medicinales",347.0
352,"ruda","Common Rue","level3","Common Rue","Ruda",347.0
353,"ruscus","Butcher's Broom","level3","Butcher's Broom","Ruscus",347.0
354,"sabila","Elliot Yamin","level3","Elliot Yamin","Sábila",347.0
355,"stevia","Stevia","level3","Stevia","Stevia",347.0
356,"tangarana","Tangarana","level3","Tangarana","Tangarana",347.0
357,"tuberculos_y_platanos","Tubers And Plantain","level1","Tubers And Plantain","Tuberculos Y Platanos",0.0
358,"achira","Purple Arrowroot","level2","Purple Arrowroot","Achira",357.0
359,"achira","Purple arrowroot","level3","Purple arrowroot","Achira",358.0
360,"sagu","Arrowroot","level3","Arrowroot","Sagu",358.0
361,"arracacha","White Carrot","level2","White Carrot","Arracacha",357.0
362,"arracacha","White carrot","level3","White carrot","Arracacha",361.0
363,"batata","Sweet Potatoe","level2","Sweet Potatoe","Batata",357.0
364,"batata","Sweet Potato","level3","Sweet Potato","Batata",363.0
365,"bore","Dasheen","level2","Dasheen","Bore",357.0
366,"bore","Dasheen","level3","Dasheen","Bore",365.0
367,"chonque","New Cocoyam","level2","New Cocoyam","Chonque",357.0
368,"chonque","New Cocoyam","level3","New Cocoyam","Chonque",367.0
369,"malanga","Eddoe","level2","Eddoe","Malanga",357.0
370,"achin","Taro","level3","Taro","Achin",369.0
371,"malanga","Eddoe","level3","Eddoe","Malanga",369.0
