"","code","level","name_en","parent_id","name","name_es","name_short_en","name_short_es"
870,"16073","municipality","Quiroga",797.0,"Quiroga","Quiroga","Quiroga","Quiroga"
871,"16074","municipality","Cojumatlán De Régules",797.0,"Cojumatlán De Régules","Cojumatlán De Régules","Cojumatlán De Régules","Cojumatlán De Régules"
872,"16075","municipality","Los Reyes",797.0,"Los Reyes","Los Reyes","Los Reyes","Los Reyes"
873,"16076","municipality","Sahuayo",797.0,"Sahuayo","Sahuayo","Sahuayo","Sahuayo"
874,"16077","municipality","San Lucas",797.0,"San Lucas","San Lucas","San Lucas","San Lucas"
875,"16078","municipality","Santa Ana Maya",797.0,"Santa Ana Maya","Santa Ana Maya","Santa Ana Maya","Santa Ana Maya"
876,"16079","municipality","Salvador Escalante",797.0,"Salvador Escalante","Salvador Escalante","Salvador Escalante","Salvador Escalante"
877,"16080","municipality","Senguio",797.0,"Senguio","Senguio","Senguio","Senguio"
878,"16081","municipality","Susupuato",797.0,"Susupuato","Susupuato","Susupuato","Susupuato"
879,"16082","municipality","Tacámbaro",797.0,"Tacámbaro","Tacámbaro","Tacámbaro","Tacámbaro"
880,"16083","municipality","Tancítaro",797.0,"Tancítaro","Tancítaro","Tancítaro","Tancítaro"
881,"16084","municipality","Tangamandapio",797.0,"Tangamandapio","Tangamandapio","Tangamandapio","Tangamandapio"
882,"16085","municipality","Tangancícuaro",797.0,"Tangancícuaro","Tangancícuaro","Tangancícuaro","Tangancícuaro"
883,"16086","municipality","Tanhuato",797.0,"Tanhuato","Tanhuato","Tanhuato","Tanhuato"
884,"16087","municipality","Taretan",797.0,"Taretan","Taretan","Taretan","Taretan"
885,"16088","municipality","Tarímbaro",797.0,"Tarímbaro","Tarímbaro","Tarímbaro","Tarímbaro"
886,"16089","municipality","Tepalcatepec",797.0,"Tepalcatepec","Tepalcatepec","Tepalcatepec","Tepalcatepec"
887,"16090","municipality","Tingambato",797.0,"Tingambato","Tingambato","Tingambato","Tingambato"
888,"16091","municipality","Tingüindín",797.0,"Tingüindín","Tingüindín","Tingüindín","Tingüindín"
889,"16092","municipality","Tiquicheo De Nicolás Romero",797.0,"Tiquicheo De Nicolás Romero","Tiquicheo De Nicolás Romero","Tiquicheo De Nicolás Romero","Tiquicheo De Nicolás Romero"
890,"16093","municipality","Tlalpujahua",797.0,"Tlalpujahua","Tlalpujahua","Tlalpujahua","Tlalpujahua"
891,"16094","municipality","Tlazazalca",797.0,"Tlazazalca","Tlazazalca","Tlazazalca","Tlazazalca"
892,"16095","municipality","Tocumbo",797.0,"Tocumbo","Tocumbo","Tocumbo","Tocumbo"
893,"16096","municipality","Tumbiscatío",797.0,"Tumbiscatío","Tumbiscatío","Tumbiscatío","Tumbiscatío"
894,"16097","municipality","Turicato",797.0,"Turicato","Turicato","Turicato","Turicato"
895,"16098","municipality","Tuxpan",797.0,"Tuxpan","Tuxpan","Tuxpan","Tuxpan"
896,"16099","municipality","Tuzantla",797.0,"Tuzantla","Tuzantla","Tuzantla","Tuzantla"
897,"16100","municipality","Tzintzuntzan",797.0,"Tzintzuntzan","Tzintzuntzan","Tzintzuntzan","Tzintzuntzan"
898,"16101","municipality","Tzitzio",797.0,"Tzitzio","Tzitzio","Tzitzio","Tzitzio"
899,"16102","municipality","Uruapan",797.0,"Uruapan","Uruapan","Uruapan","Uruapan"
900,"16103","municipality","Venustiano Carranza",797.0,"Venustiano Carranza","Venustiano Carranza","Venustiano Carranza","Venustiano Carranza"
901,"16104","municipality","Villamar",797.0,"Villamar","Villamar","Villamar","Villamar"
902,"16105","municipality","Vista Hermosa",797.0,"Vista Hermosa","Vista Hermosa","Vista Hermosa","Vista Hermosa"
903,"16106","municipality","Yurécuaro",797.0,"Yurécuaro","Yurécuaro","Yurécuaro","Yurécuaro"
904,"16107","municipality","Zacapu",797.0,"Zacapu","Zacapu","Zacapu","Zacapu"
905,"16108","municipality","Zamora",797.0,"Zamora","Zamora","Zamora","Zamora"
906,"16109","municipality","Zináparo",797.0,"Zináparo","Zináparo","Zináparo","Zináparo"
907,"16110","municipality","Zinapécuaro",797.0,"Zinapécuaro","Zinapécuaro","Zinapécuaro","Zinapécuaro"
908,"16111","municipality","Ziracuaretiro",797.0,"Ziracuaretiro","Ziracuaretiro","Ziracuaretiro","Ziracuaretiro"
909,"16112","municipality","Zitácuaro",797.0,"Zitácuaro","Zitácuaro","Zitácuaro","Zitácuaro"
910,"16113","municipality","José Sixto Verduzco",797.0,"José Sixto Verduzco","José Sixto Verduzco","José Sixto Verduzco","José Sixto Verduzco"
911,"17","department","Morelos",0.0,"Morelos","Morelos","Morelos","Morelos"
912,"17001","municipality","Amacuzac",911.0,"Amacuzac","Amacuzac","Amacuzac","Amacuzac"
913,"17002","municipality","Atlatlahucan",911.0,"Atlatlahucan","Atlatlahucan","Atlatlahucan","Atlatlahucan"
914,"17003","municipality","Axochiapan",911.0,"Axochiapan","Axochiapan","Axochiapan","Axochiapan"
