"","code","name","level","name_es","name_en","name_short_es","name_short_en","parent_id"
136,"120800","Yauli","msa","Yauli","Yauli","Yauli","Yauli",12.0
137,"120900","Chupaca","msa","Chupaca","Chupaca","Chupaca","Chupaca",12.0
138,"130100","Trujillo","msa","Trujillo","Trujillo","Trujillo","Trujillo",13.0
139,"130200","Ascope","msa","Ascope","Ascope","Ascope","Ascope",13.0
140,"130300","Bolivar","msa","Bolivar","Bolivar","Bolivar","Bolivar",13.0
141,"130400","Chepen","msa","Chepen","Chepen","Chepen","Chepen",13.0
142,"130500","Julcan","msa","Julcan","Julcan","Julcan","Julcan",13.0
143,"130600","Otuzco","msa","Otuzco","Otuzco","Otuzco","Otuzco",13.0
144,"130700","Pacasmayo","msa","Pacasmayo","Pacasmayo","Pacasmayo","Pacasmayo",13.0
145,"130800","Pataz","msa","Pataz","Pataz","Pataz","Pataz",13.0
146,"130900","Sanchez Carrion","msa","Sanchez Carrion","Sanchez Carrion","Sanchez Carrion","Sanchez Carrion",13.0
147,"131000","Santiago de Chuco","msa","Santiago de Chuco","Santiago de Chuco","Santiago de Chuco","Santiago de Chuco",13.0
148,"131100","Gran Chimu","msa","Gran Chimu","Gran Chimu","Gran Chimu","Gran Chimu",13.0
149,"131200","Viru","msa","Viru","Viru","Viru","Viru",13.0
150,"140100","Chiclayo","msa","Chiclayo","Chiclayo","Chiclayo","Chiclayo",14.0
151,"140200","Ferrenafe","msa","Ferrenafe","Ferrenafe","Ferrenafe","Ferrenafe",14.0
152,"140300","Lambayeque","msa","Lambayeque","Lambayeque","Lambayeque","Lambayeque",14.0
153,"150100","Lima","msa","Lima","Lima","Lima","Lima",15.0
154,"150200","Barranca","msa","Barranca","Barranca","Barranca","Barranca",15.0
155,"150300","Cajatambo","msa","Cajatambo","Cajatambo","Cajatambo","Cajatambo",15.0
156,"150400","Canta","msa","Canta","Canta","Canta","Canta",15.0
157,"150500","Canete","msa","Canete","Canete","Canete","Canete",15.0
158,"150600","Huaral","msa","Huaral","Huaral","Huaral","Huaral",15.0
159,"150700","Huarochiri","msa","Huarochiri","Huarochiri","Huarochiri","Huarochiri",15.0
160,"150800","Huaura","msa","Huaura","Huaura","Huaura","Huaura",15.0
161,"150900","Oyon","msa","Oyon","Oyon","Oyon","Oyon",15.0
162,"151000","Yauyos","msa","Yauyos","Yauyos","Yauyos","Yauyos",15.0
163,"160100","Maynas","msa","Maynas","Maynas","Maynas","Maynas",16.0
164,"160200","Alto Amazonas","msa","Alto Amazonas","Alto Amazonas","Alto Amazonas","Alto Amazonas",16.0
165,"160300","Loreto","msa","Loreto","Loreto","Loreto","Loreto",16.0
166,"160400","Mariscal Ramon Castilla","msa","Mariscal Ramon Castilla","Mariscal Ramon Castilla","Mariscal Ramon Castilla","Mariscal Ramon Castilla",16.0
167,"160500","Requena","msa","Requena","Requena","Requena","Requena",16.0
168,"160600","Ucayali","msa","Ucayali","Ucayali","Ucayali","Ucayali",16.0
169,"160700","Datem del Marañon","msa","Datem del Marañon","Datem del Marañon","Datem del Marañon","Datem del Marañon",16.0
170,"170100","Tambopata","msa","Tambopata","Tambopata","Tambopata","Tambopata",17.0
171,"170200","Manu","msa","Manu","Manu","Manu","Manu",17.0
172,"170300","Tahuamanu","msa","Tahuamanu","Tahuamanu","Tahuamanu","Tahuamanu",17.0
173,"180100","Mariscal Nieto","msa","Mariscal Nieto","Mariscal Nieto","Mariscal Nieto","Mariscal Nieto",18.0
174,"180200","General Sanchez Cerro","msa","General Sanchez Cerro","General Sanchez Cerro","General Sanchez Cerro","General Sanchez Cerro",18.0
175,"180300","Ilo","msa","Ilo","Ilo","Ilo","Ilo",18.0
176,"190100","Pasco","msa","Pasco","Pasco","Pasco","Pasco",19.0
177,"190200","Daniel Alcides Carrion","msa","Daniel Alcides Carrion","Daniel Alcides Carrion","Daniel Alcides Carrion","Daniel Alcides Carrion",19.0
178,"190300","Oxapampa","msa","Oxapampa","Oxapampa","Oxapampa","Oxapampa",19.0
179,"200100","Piura","msa","Piura","Piura","Piura","Piura",20.0
180,"200200","Ayabaca","msa","Ayabaca","Ayabaca","Ayabaca","Ayabaca",20.0
181,"200300","Huancabamba","msa","Huancabamba","Huancabamba","Huancabamba","Huancabamba",20.0
182,"200400","Morropon","msa","Morropon","Morropon","Morropon","Morropon",20.0
183,"200500","Paita","msa","Paita","Paita","Paita","Paita",20.0
184,"200600","Sullana","msa","Sullana","Sullana","Sullana","Sullana",20.0
185,"200700","Talara","msa","Talara","Talara","Talara","Talara",20.0
186,"200800","Sechura","msa","Sechura","Sechura","Sechura","Sechura",20.0
187,"210100","Puno","msa","Puno","Puno","Puno","Puno",21.0
188,"210200","Azangaro","msa","Azangaro","Azangaro","Azangaro","Azangaro",21.0
189,"210300","Carabaya","msa","Carabaya","Carabaya","Carabaya","Carabaya",21.0
190,"210400","Chucuito","msa","Chucuito","Chucuito","Chucuito","Chucuito",21.0
191,"210500","El Collao","msa","El Collao","El Collao","El Collao","El Collao",21.0
192,"210600","Huancane","msa","Huancane","Huancane","Huancane","Huancane",21.0
193,"210700","Lampa","msa","Lampa","Lampa","Lampa","Lampa",21.0
194,"210800","Melgar","msa","Melgar","Melgar","Melgar","Melgar",21.0
195,"210900","Moho","msa","Moho","Moho","Moho","Moho",21.0
196,"211000","San Antonio de Putina","msa","San Antonio de Putina","San Antonio de Putina","San Antonio de Putina","San Antonio de Putina",21.0
197,"211100","San Roman","msa","San Roman","San Roman","San Roman","San Roman",21.0
198,"211200","Sandia","msa","Sandia","Sandia","Sandia","Sandia",21.0
199,"211300","Yunguyo","msa","Yunguyo","Yunguyo","Yunguyo","Yunguyo",21.0
200,"220100","Moyobamba","msa","Moyobamba","Moyobamba","Moyobamba","Moyobamba",22.0
201,"220200","Bellavista","msa","Bellavista","Bellavista","Bellavista","Bellavista",22.0
202,"220300","El Dorado","msa","El Dorado","El Dorado","El Dorado","El Dorado",22.0
203,"220400","Huallaga","msa","Huallaga","Huallaga","Huallaga","Huallaga",22.0
204,"220500","Lamas","msa","Lamas","Lamas","Lamas","Lamas",22.0
205,"220600","Mariscal Caceres","msa","Mariscal Caceres","Mariscal Caceres","Mariscal Caceres","Mariscal Caceres",22.0
206,"220700","Picota","msa","Picota","Picota","Picota","Picota",22.0
207,"220800","Rioja","msa","Rioja","Rioja","Rioja","Rioja",22.0
208,"220900","San Martin","msa","San Martin","San Martin","San Martin","San Martin",22.0
209,"221000","Tocache","msa","Tocache","Tocache","Tocache","Tocache",22.0
210,"230100","Tacna","msa","Tacna","Tacna","Tacna","Tacna",23.0
211,"230200","Candarave","msa","Candarave","Candarave","Candarave","Candarave",23.0
212,"230300","Jorge Basadre","msa","Jorge Basadre","Jorge Basadre","Jorge Basadre","Jorge Basadre",23.0
213,"230400","Tarata","msa","Tarata","Tarata","Tarata","Tarata",23.0
214,"240100","Tumbes","msa","Tumbes","Tumbes","Tumbes","Tumbes",24.0
215,"240200","Contralmirante Villar","msa","Contralmirante Villar","Contralmirante Villar","Contralmirante Villar","Contralmirante Villar",24.0
216,"240300","Zarumilla","msa","Zarumilla","Zarumilla","Zarumilla","Zarumilla",24.0
217,"250100","Coronel Portillo","msa","Coronel Portillo","Coronel Portillo","Coronel Portillo","Coronel Portillo",25.0
218,"250200","Atalaya","msa","Atalaya","Atalaya","Atalaya","Atalaya",25.0
219,"250300","Padre Abad","msa","Padre Abad","Padre Abad","Padre Abad","Padre Abad",25.0
220,"250400","Purus","msa","Purus","Purus","Purus","Purus",25.0
221,"019900","Amazonas (unknown province)","msa","Amazonas (provincia desconocida)","Amazonas (unknown province)","Amazonas (provincia desconocida)","Amazonas (unknown province)",1.0
222,"029900","Ancash (unknown province)","msa","Ancash (provincia desconocida)","Ancash (unknown province)","Ancash (provincia desconocida)","Ancash (unknown province)",2.0
223,"039900","Apurimac (unknown province)","msa","Apurimac (provincia desconocida)","Apurimac (unknown province)","Apurimac (provincia desconocida)","Apurimac (unknown province)",3.0
224,"049900","Arequipa (unknown province)","msa","Arequipa (provincia desconocida)","Arequipa (unknown province)","Arequipa (provincia desconocida)","Arequipa (unknown province)",4.0
225,"059900","Ayacucho (unknown province)","msa","Ayacucho (provincia desconocida)","Ayacucho (unknown province)","Ayacucho (provincia desconocida)","Ayacucho (unknown province)",5.0
226,"069900","Cajamarca (unknown province)","msa","Cajamarca (provincia desconocida)","Cajamarca (unknown province)","Cajamarca (provincia desconocida)","Cajamarca (unknown province)",6.0
227,"079900","Callao (unknown province)","msa","Callao (provincia desconocida)","Callao (unknown province)","Callao (provincia desconocida)","Callao (unknown province)",7.0
228,"089900","Cusco (unknown province)","msa","Cusco (provincia desconocida)","Cusco (unknown province)","Cusco (provincia desconocida)","Cusco (unknown province)",8.0
