"","code","level","name_en","name_es","name_short_en","name_short_es","parent_id","name"
141,"MNE","country","Montenegro","Montenegro","Montenegro","Montenegro","","Montenegro"
142,"MNG","country","Mongolia","Mongolia","Mongolia","Mongolia","","Mongolia"
143,"MNP","country","Northern Mariana Islands","Islas Marianas Septentrionales","Northern Mariana Islands","Islas Marianas Septentrionales","","Northern Mariana Islands"
144,"MOZ","country","Mozambique","Mozambique (Republica De)","Mozambique","Mozambique ","","Mozambique"
145,"MRT","country","Mauritania","Mauritania (Republica Islamica De)","Mauritania","Mauritania","","Mauritania"
146,"MSR","country","Montserrat","Monserrat (Isla)","Montserrat","Monserrat","","Montserrat"
147,"MTQ","country","Martinique","Martinica (Departamento De) (Francia)","Martinique","Martinica","","Martinique"
148,"MUS","country","Mauritius","Mauricio (Republica De)","Mauritius","Mauricio ","","Mauritius"
149,"MWI","country","Malawi","Malawi (Republica De)","Malawi","Malawi ","","Malawi"
150,"MYS","country","Malaysia","Malasia","Malaysia","Malasia","","Malaysia"
151,"NAM","country","Namibia","Namibia (Republica De)","Namibia","Namibia ","","Namibia"
152,"NCL","country","New Caledonia","Nueva Caledonia (Territorio Frances De Ultramar)","New Caledonia","Nueva Caledonia","","New Caledonia"
153,"NER","country","Niger","Niger (Republica De)","Niger","Niger ","","Niger"
154,"NFK","country","Norfolk Island","Norfolk (Isla)","Norfolk Island","Norfolk (Isla)","","Norfolk Island"
155,"NGA","country","Nigeria","Nigeria (Republica Federal De)","Nigeria","Nigeria","","Nigeria"
156,"NIC","country","Nicaragua","Nicaragua (Republica De)","Nicaragua","Nicaragua ","","Nicaragua"
157,"NIU","country","Niue","Nive (Isla)","Niue","Nive (Isla)","","Niue"
158,"NOR","country","Norway","Noruega (Reino De)","Norway","Noruega","","Norway"
159,"NPL","country","Nepal","Nepal (Reino De)","Nepal","Nepal (Reino De)","","Nepal"
160,"NRU","country","Nauru","Nauru","Nauru","Nauru","","Nauru"
161,"NZL","country","New Zealand","Nueva Zelandia","New Zealand","Nueva Zelandia","","New Zealand"
162,"OMN","country","Oman","Oman (Sultanato De)","Oman","Oman","","Oman"
163,"PAK","country","Pakistan","Pakistan (Republica Islamica De)","Pakistan","Pakistan","","Pakistan"
164,"PAN","country","Panama","Panama (Republica De)","Panama","Panama ","","Panama"
165,"PCN","country","Pitcairn","Pitcairns (Islas Dependencia Britanica)","Pitcairn","Pitcairns (Islas Dependencia Britanica)","","Pitcairn"
166,"PER","country","Peru","Peru (Republica Del)","Peru","Peru","","Peru"
167,"PHL","country","Philippines","Filipinas (Republica De Las)","Philippines","Filipinas","","Philippines"
168,"PIK","country","Pacific Islands","Pacifico, Islas Del (Admon. E.U.A.)","Pacific Islands","Pacifico, Islas Del (Admon. E.U.A.)","","Pacific Islands"
169,"PLW","country","Palau","Palau (Republica De)","Palau","Palau ","","Palau"
170,"PNG","country","Papua New Guinea","Papua Nueva Guinea (Estado Independiente De)","Papua New Guinea","Papua Nueva Guinea","","Papua New Guinea"
171,"POL","country","Poland","Polonia (Republica De)","Poland","Polonia ","","Poland"
172,"PRI","country","Puerto Rico","Puerto Rico (Estado Libre Asociado De La Comunidad De)","Puerto Rico","Puerto Rico","","Puerto Rico"
173,"PRK","country","Korea (Democratic People's Republic of)","Corea (Republica Popular Democratica De) (Corea Del Norte)","North Korea","Corea Del Norte","","Korea (Democratic People's Republic of)"
174,"PRT","country","Portugal","Portugal (Republica Portuguesa)","Portugal","Portugal","","Portugal"
175,"PRY","country","Paraguay","Paraguay (Republica Del)","Paraguay","Paraguay","","Paraguay"
176,"PSE","country","Palestine, State of","Palestina","Palestine","Palestina","","Palestine, State of"
177,"PTY","country","Panama Canal Zone","Zona Del Canal De Panama","Panama Canal Zone","Zona Del Canal De Panama","","Panama Canal Zone"
178,"PYF","country","French Polynesia","Polinesia Francesa","French Polynesia","Polinesia Francesa","","French Polynesia"
179,"QAT","country","Qatar","Qatar (Estado De)","Qatar","Qatar","","Qatar"
180,"REU","country","Réunion","Reunion (Departamento De La) (Francia)","Réunion","Reunion","","Réunion"
181,"RKE","country","Channel Islands","Canal, Islas Del (Islas Normandas)","Channel Islands","Canal, Islas Del (Islas Normandas)","","Channel Islands"
182,"ROM","country","Romania","Rumania","Romania","Rumania","","Romania"
183,"RUH","country","Saudi–Iraqi neutral zone","Zona Neutral Iraq-Arabia Saudita","Saudi–Iraqi neutral zone","Zona Neutral Iraq-Arabia Saudita","","Saudi–Iraqi neutral zone"
184,"RUS","country","Russian Federation","Rusia (Federacion Rusa)","Russian Federation","Rusia","","Russian Federation"
185,"RWA","country","Rwanda","Republica Ruandesa","Rwanda","Republica Ruandesa","","Rwanda"
186,"SAU","country","Saudi Arabia","Arabia Saudita (Reino De)","Saudi Arabia","Arabia Saudita","","Saudi Arabia"
187,"SDN","country","Sudan","Sudan (Republica Del)","Sudan","Sudan","","Sudan"
188,"SEN","country","Senegal","Senegal (Republica Del)","Senegal","Senegal","","Senegal"
189,"SGP","country","Singapore","Singapur (Republica De)","Singapore","Singapur ","","Singapore"
190,"SHN","country","Saint Helena, Ascension and Tristan da Cunha","Santa Elena","Saint Helena, Ascension and Tristan da Cunha","Santa Elena","","Saint Helena, Ascension and Tristan da Cunha"
191,"SJM","country","Svalbard and Jan Mayen","Islas Svalbard Y Jan Mayen (Noruega)","Svalbard and Jan Mayen","Islas Svalbard Y Jan Mayen","","Svalbard and Jan Mayen"
192,"SLB","country","Solomon Islands","Islas Salomon (Comunidad Britanica De Naciones)","Solomon Islands","Islas Salomon","","Solomon Islands"
193,"SLE","country","Sierra Leone","Sierra Leona (Republica De)","Sierra Leone","Sierra Leona ","","Sierra Leone"
194,"SLV","country","El Salvador","El Salvador (Republica De)","El Salvador","El Salvador ","","El Salvador"
195,"SMR","country","San Marino","San Marino (Serenisima Republica De)","San Marino","San Marino","","San Marino"
196,"SOM","country","Somalia","Somalia","Somalia","Somalia","","Somalia"
197,"SPM","country","Saint Pierre and Miquelon","San Pedro Y Miquelon","Saint Pierre and Miquelon","San Pedro y Miquelon","","Saint Pierre and Miquelon"
198,"SRB","country","Serbia","Republica De Serbia","Serbia"," Serbia","","Serbia"
