"","code","level","name_en","name_es","name_short_en","name_short_es","parent_id","name","trusted","in_book"
127,"LCA","country","Saint Lucia","Santa Lucia","Saint Lucia","Santa Lucia",356.0,"Saint Lucia",0.0,0.0
128,"LKA","country","Sri Lanka","Sri Lanka (Republica Democratica Socialista De)","Sri Lanka","Sri Lanka",353.0,"Sri Lanka",1.0,1.0
129,"LSO","country","Lesotho","Lesotho (Reino De)","Lesotho","Lesotho",352.0,"Lesotho",0.0,0.0
130,"LTU","country","Lithuania","Lituania (Republica De)","Lithuania","Lituania",355.0,"Lithuania",1.0,1.0
131,"LUX","country","Luxembourg","Luxemburgo (Gran Ducado De)","Luxembourg","Luxemburgo",355.0,"Luxembourg",1.0,0.0
132,"LVA","country","Latvia","Letonia (Republica De)","Latvia","Letonia",355.0,"Latvia",0.0,1.0
133,"MAC","country","Macao","Macao","Macao","Macao",353.0,"Macao",1.0,0.0
134,"MAR","country","Morocco","Marruecos (Reino De)","Morocco","Marruecos",352.0,"Morocco",1.0,1.0
135,"MDA","country","Moldova (Republic of)","Moldavia (Republica De)","Moldova","Moldavia",355.0,"Moldova (Republic of)",0.0,1.0
136,"MDG","country","Madagascar","Madagascar (Republica De)","Madagascar","Madagascar",352.0,"Madagascar",0.0,1.0
137,"MDV","country","Maldives","Maldivas (Republica De)","Maldives","Maldivas",353.0,"Maldives",0.0,0.0
138,"MEX","country","Mexico","Mexico (Estados Unidos Mexicanos)","Mexico","Mexico",356.0,"Mexico",1.0,1.0
139,"MHL","country","Marshall Islands","Islas Marshall","Marshall Islands","Islas Marshall",354.0,"Marshall Islands",0.0,0.0
140,"MKD","country","Macedonia (the former Yugoslav Republic of)","Macedonia (Antigua Republica Yugoslava De)","Macedonia","Macedonia",355.0,"Macedonia (the former Yugoslav Republic of)",1.0,1.0
141,"MLI","country","Mali","Mali (Republica De)","Mali","Mali",352.0,"Mali",0.0,1.0
142,"MLT","country","Malta","Malta (Republica De)","Malta","Malta",355.0,"Malta",0.0,0.0
143,"MMR","country","Myanmar","Myanmar (Union De)","Myanmar","Myanmar",353.0,"Myanmar",1.0,0.0
144,"MNE","country","Montenegro","Montenegro","Montenegro","Montenegro",355.0,"Montenegro",1.0,0.0
145,"MNG","country","Mongolia","Mongolia","Mongolia","Mongolia",353.0,"Mongolia",1.0,1.0
146,"MNP","country","Northern Mariana Islands","Islas Marianas Septentrionales","Northern Mariana Islands","Islas Marianas Septentrionales",354.0,"Northern Mariana Islands",0.0,0.0
147,"MOZ","country","Mozambique","Mozambique (Republica De)","Mozambique","Mozambique",352.0,"Mozambique",1.0,1.0
148,"MRT","country","Mauritania","Mauritania (Republica Islamica De)","Mauritania","Mauritania",352.0,"Mauritania",0.0,1.0
149,"MSR","country","Montserrat","Monserrat (Isla)","Montserrat","Monserrat",356.0,"Montserrat",0.0,0.0
150,"MTQ","country","Martinique","Martinica (Departamento De) (Francia)","Martinique","Martinica",356.0,"Martinique",0.0,0.0
151,"MUS","country","Mauritius","Mauricio (Republica De)","Mauritius","Mauricio",352.0,"Mauritius",1.0,1.0
152,"MWI","country","Malawi","Malawi (Republica De)","Malawi","Malawi",352.0,"Malawi",1.0,1.0
153,"MYS","country","Malaysia","Malasia","Malaysia","Malasia",353.0,"Malaysia",1.0,1.0
154,"MYT","country","Mayotte","","Mayotte","",352.0,"Mayotte",0.0,0.0
155,"NAM","country","Namibia","Namibia (Republica De)","Namibia","Namibia",352.0,"Namibia",1.0,1.0
156,"NCL","country","New Caledonia","Nueva Caledonia (Territorio Frances De Ultramar)","New Caledonia","Nueva Caledonia",354.0,"New Caledonia",1.0,0.0
157,"NER","country","Niger","Niger (Republica De)","Niger","Niger",352.0,"Niger",0.0,0.0
158,"NFK","country","Norfolk Island","Norfolk (Isla)","Norfolk Island","Norfolk (Isla)",354.0,"Norfolk Island",0.0,0.0
159,"NGA","country","Nigeria","Nigeria (Republica Federal De)","Nigeria","Nigeria",352.0,"Nigeria",1.0,1.0
160,"NIC","country","Nicaragua","Nicaragua (Republica De)","Nicaragua","Nicaragua",356.0,"Nicaragua",0.0,1.0
161,"NIU","country","Niue","Nive (Isla)","Niue","Nive (Isla)",354.0,"Niue",0.0,0.0
162,"NLD","country","Netherlands","Paises Bajos (Reino De Los) (Holanda)","Netherlands","Holanda",355.0,"Netherlands",1.0,1.0
163,"NOR","country","Norway","Noruega (Reino De)","Norway","Noruega",355.0,"Norway",1.0,1.0
164,"NPL","country","Nepal","Nepal (Reino De)","Nepal","Nepal (Reino De)",353.0,"Nepal",1.0,0.0
165,"NRU","country","Nauru","Nauru","Nauru","Nauru",354.0,"Nauru",0.0,0.0
166,"NZL","country","New Zealand","Nueva Zelandia","New Zealand","Nueva Zelandia",354.0,"New Zealand",1.0,1.0
167,"OMN","country","Oman","Oman (Sultanato De)","Oman","Oman",353.0,"Oman",1.0,1.0
168,"PAK","country","Pakistan","Pakistan (Republica Islamica De)","Pakistan","Pakistan",353.0,"Pakistan",1.0,1.0
169,"PAN","country","Panama","Panama (Republica De)","Panama","Panama",356.0,"Panama",0.0,0.0
170,"PCI","country","Former Pacific Islands","Pacifico, Islas Del","Fmr. Pacific Islands","Pacifico, Islas Del",354.0,"Former Pacific Islands",0.0,0.0
171,"PCN","country","Pitcairn","Pitcairns (Islas Dependencia Britanica)","Pitcairn","Pitcairns (Islas Dependencia Britanica)",354.0,"Pitcairn",0.0,0.0
172,"PCZ","country","Panama Canal Zone","Zona Del Canal De Panama","Panama Canal Zone","Zona Del Canal De Panama",356.0,"Panama Canal Zone",0.0,0.0
173,"PER","country","Peru","Peru (Republica Del)","Peru","Peru",357.0,"Peru",1.0,1.0
174,"PHL","country","Philippines","Filipinas (Republica De Las)","Philippines","Filipinas",353.0,"Philippines",0.0,1.0
175,"PLW","country","Palau","Palau (Republica De)","Palau","Palau",354.0,"Palau",0.0,0.0
176,"PNG","country","Papua New Guinea","Papua Nueva Guinea (Estado Independiente De)","Papua New Guinea","Papua Nueva Guinea",354.0,"Papua New Guinea",1.0,1.0
177,"POL","country","Poland","Polonia (Republica De)","Poland","Polonia",355.0,"Poland",1.0,1.0
178,"PRK","country","Korea (Democratic People's Republic of)","Corea (Republica Popular Democratica De) (Corea Del Norte)","North Korea","Corea Del Norte",353.0,"Korea (Democratic People's Republic of)",1.0,0.0
179,"PRT","country","Portugal","Portugal (Republica Portuguesa)","Portugal","Portugal",355.0,"Portugal",1.0,1.0
180,"PRY","country","Paraguay","Paraguay (Republica Del)","Paraguay","Paraguay",357.0,"Paraguay",0.0,1.0
181,"PSE","country","Palestine, State of","Palestina","Palestine","Palestina",353.0,"Palestine, State of",0.0,0.0
182,"PYF","country","French Polynesia","Polinesia Francesa","French Polynesia","Polinesia Francesa",354.0,"French Polynesia",1.0,0.0
183,"QAT","country","Qatar","Qatar (Estado De)","Qatar","Qatar",353.0,"Qatar",1.0,1.0
184,"REU","country","Réunion","Reunion (Departamento De La) (Francia)","Réunion","Reunion",352.0,"Réunion",0.0,0.0
185,"ROU","country","Romania","Rumania","Romania","Rumania",355.0,"Romania",1.0,1.0
186,"RUS","country","Russian Federation","Rusia (Federacion Rusa)","Russian Federation","Rusia",355.0,"Russian Federation",1.0,1.0
187,"RWA","country","Rwanda","Republica Ruandesa","Rwanda","Republica Ruandesa",352.0,"Rwanda",0.0,0.0
188,"SAU","country","Saudi Arabia","Arabia Saudita (Reino De)","Saudi Arabia","Arabia Saudita",353.0,"Saudi Arabia",1.0,1.0
189,"SCG","country","Serbia and Montenegro","","Serbia and Montenegro","",355.0,"Serbia and Montenegro",0.0,0.0
190,"SDN","country","Sudan","Sudan (Republica Del)","Sudan","Sudan",352.0,"Sudan",1.0,0.0
191,"SEN","country","Senegal","Senegal (Republica Del)","Senegal","Senegal",352.0,"Senegal",1.0,1.0
192,"SGP","country","Singapore","Singapur (Republica De)","Singapore","Singapur",353.0,"Singapore",1.0,0.0
193,"SGS","country","South Georgia and the South Sandwich Islands","","South Georgia and South Sandwich Islds.","",358.0,"South Georgia and the South Sandwich Islands",0.0,0.0
194,"SHN","country","Saint Helena, Ascension and Tristan da Cunha","Santa Elena","Saint Helena, Ascension and Tristan da Cunha","Santa Elena",352.0,"Saint Helena, Ascension and Tristan da Cunha",0.0,0.0
195,"SLB","country","Solomon Islands","Islas Salomon (Comunidad Britanica De Naciones)","Solomon Islands","Islas Salomon",354.0,"Solomon Islands",0.0,0.0
196,"SLE","country","Sierra Leone","Sierra Leona (Republica De)","Sierra Leone","Sierra Leona",352.0,"Sierra Leone",0.0,0.0
197,"SLV","country","El Salvador","El Salvador (Republica De)","El Salvador","El Salvador",356.0,"El Salvador",1.0,1.0
198,"SMR","country","San Marino","San Marino (Serenisima Republica De)","San Marino","San Marino",355.0,"San Marino",0.0,0.0
199,"SOM","country","Somalia","Somalia","Somalia","Somalia",352.0,"Somalia",0.0,0.0
200,"SPM","country","Saint Pierre and Miquelon","San Pedro Y Miquelon","Saint Pierre and Miquelon","San Pedro y Miquelon",356.0,"Saint Pierre and Miquelon",0.0,0.0
201,"SRB","country","Serbia","Republica De Serbia","Serbia","Serbia",355.0,"Serbia",1.0,1.0
202,"SSD","country","South Sudan","","South Sudan","",352.0,"South Sudan",1.0,0.0
203,"STP","country","Sao Tome and Principe","Santo Tome Y Principe (Republica Democratica De)","Sao Tome and Principe","Santo Tome y Principe",352.0,"Sao Tome and Principe",0.0,0.0
