"","code","level","name","parent_id","name_es","name_short_en","name_short_es"
147,"05310","municipality","Gómez Plata",1.0,"Gómez Plata","Gómez Plata","Gómez Plata"
148,"05313","municipality","Granada",1.0,"Granada","Granada","Granada"
149,"05315","municipality","Guadalupe",1.0,"Guadalupe","Guadalupe","Guadalupe"
150,"05318","municipality","Guarne",1.0,"Guarne","Guarne","Guarne"
151,"05321","municipality","Guatapé",1.0,"Guatapé","Guatapé","Guatapé"
152,"05347","municipality","Heliconia",1.0,"Heliconia","Heliconia","Heliconia"
153,"05353","municipality","Hispania",1.0,"Hispania","Hispania","Hispania"
154,"05360","municipality","Itagüí",1.0,"Itagüí","Itagüí","Itagüí"
155,"05361","municipality","Ituango",1.0,"Ituango","Ituango","Ituango"
156,"05364","municipality","Jardín",1.0,"Jardín","Jardín","Jardín"
157,"05368","municipality","Jericó",1.0,"Jericó","Jericó","Jericó"
158,"05376","municipality","La Ceja",1.0,"La Ceja","La Ceja","La Ceja"
159,"05380","municipality","La Estrella",1.0,"La Estrella","La Estrella","La Estrella"
160,"05390","municipality","La Pintada",1.0,"La Pintada","La Pintada","La Pintada"
161,"05400","municipality","La Unión",1.0,"La Unión","La Unión","La Unión"
162,"05411","municipality","Liborina",1.0,"Liborina","Liborina","Liborina"
163,"05425","municipality","Maceo",1.0,"Maceo","Maceo","Maceo"
164,"05440","municipality","Marinilla",1.0,"Marinilla","Marinilla","Marinilla"
165,"05467","municipality","Montebello",1.0,"Montebello","Montebello","Montebello"
166,"05475","municipality","Murindó",1.0,"Murindó","Murindó","Murindó"
167,"05480","municipality","Mutatá",1.0,"Mutatá","Mutatá","Mutatá"
168,"05483","municipality","Nariño",1.0,"Nariño","Nariño","Nariño"
169,"05490","municipality","Necoclí",1.0,"Necoclí","Necoclí","Necoclí"
170,"05495","municipality","Nechí",1.0,"Nechí","Nechí","Nechí"
171,"05501","municipality","Olaya",1.0,"Olaya","Olaya","Olaya"
172,"05541","municipality","Peñol",1.0,"Peñol","Peñol","Peñol"
173,"05543","municipality","Peque",1.0,"Peque","Peque","Peque"
174,"05576","municipality","Pueblorrico",1.0,"Pueblorrico","Pueblorrico","Pueblorrico"
175,"05579","municipality","Puerto Berrío",1.0,"Puerto Berrío","Puerto Berrío","Puerto Berrío"
176,"05585","municipality","Puerto Nare",1.0,"Puerto Nare","Puerto Nare","Puerto Nare"
177,"05591","municipality","Puerto Triunfo",1.0,"Puerto Triunfo","Puerto Triunfo","Puerto Triunfo"
178,"05604","municipality","Remedios",1.0,"Remedios","Remedios","Remedios"
179,"05607","municipality","Retiro",1.0,"Retiro","Retiro","Retiro"
180,"05615","municipality","Rionegro",1.0,"Rionegro","Rionegro","Rionegro"
181,"05628","municipality","Sabanalarga",1.0,"Sabanalarga","Sabanalarga","Sabanalarga"
182,"05631","municipality","Sabaneta",1.0,"Sabaneta","Sabaneta","Sabaneta"
183,"05642","municipality","Salgar",1.0,"Salgar","Salgar","Salgar"
184,"05647","municipality","San Andrés De Cuerquía",1.0,"San Andrés De Cuerquía","San Andrés De Cuerquía","San Andrés De Cuerquía"
185,"05649","municipality","San Carlos",1.0,"San Carlos","San Carlos","San Carlos"
186,"05652","municipality","San Francisco",1.0,"San Francisco","San Francisco","San Francisco"
187,"05656","municipality","San Jerónimo",1.0,"San Jerónimo","San Jerónimo","San Jerónimo"
188,"05658","municipality","San José De La Montaña",1.0,"San José De La Montaña","San José De La Montaña","San José De La Montaña"
189,"05659","municipality","San Juan De Urabá",1.0,"San Juan De Urabá","San Juan De Urabá","San Juan De Urabá"
190,"05660","municipality","San Luis",1.0,"San Luis","San Luis","San Luis"
191,"05664","municipality","San Pedro De Los Milagros",1.0,"San Pedro De Los Milagros","San Pedro De Los Milagros","San Pedro De Los Milagros"
192,"05665","municipality","San Pedro De Urabá",1.0,"San Pedro De Urabá","San Pedro De Urabá","San Pedro De Urabá"
193,"05667","municipality","San Rafael",1.0,"San Rafael","San Rafael","San Rafael"
194,"05670","municipality","San Roque",1.0,"San Roque","San Roque","San Roque"
195,"05674","municipality","San Vicente Ferrer",1.0,"San Vicente Ferrer","San Vicente Ferrer","San Vicente Ferrer"
196,"05679","municipality","Santa Bárbara",1.0,"Santa Bárbara","Santa Bárbara","Santa Bárbara"
197,"05686","municipality","Santa Rosa De Osos",1.0,"Santa Rosa De Osos","Santa Rosa De Osos","Santa Rosa De Osos"
198,"05690","municipality","Santo Domingo",1.0,"Santo Domingo","Santo Domingo","Santo Domingo"
199,"05697","municipality","El Santuario",1.0,"El Santuario","El Santuario","El Santuario"
200,"05736","municipality","Segovia",1.0,"Segovia","Segovia","Segovia"
201,"05756","municipality","Sonsón",1.0,"Sonsón","Sonsón","Sonsón"
202,"05761","municipality","Sopetrán",1.0,"Sopetrán","Sopetrán","Sopetrán"
203,"05789","municipality","Támesis",1.0,"Támesis","Támesis","Támesis"
204,"05790","municipality","Tarazá",1.0,"Tarazá","Tarazá","Tarazá"
205,"05792","municipality","Tarso",1.0,"Tarso","Tarso","Tarso"
206,"05809","municipality","Titiribí",1.0,"Titiribí","Titiribí","Titiribí"
207,"05819","municipality","Toledo",1.0,"Toledo","Toledo","Toledo"
208,"05837","municipality","Turbo",1.0,"Turbo","Turbo","Turbo"
209,"05842","municipality","Uramita",1.0,"Uramita","Uramita","Uramita"
210,"05847","municipality","Urrao",1.0,"Urrao","Urrao","Urrao"
211,"05854","municipality","Valdivia",1.0,"Valdivia","Valdivia","Valdivia"
212,"05856","municipality","Valparaíso",1.0,"Valparaíso","Valparaíso","Valparaíso"
213,"05858","municipality","Vegachí",1.0,"Vegachí","Vegachí","Vegachí"
214,"05861","municipality","Venecia",1.0,"Venecia","Venecia","Venecia"
215,"05873","municipality","Vigía Del Fuerte",1.0,"Vigía Del Fuerte","Vigía Del Fuerte","Vigía Del Fuerte"
216,"05885","municipality","Yalí",1.0,"Yalí","Yalí","Yalí"
217,"05887","municipality","Yarumal",1.0,"Yarumal","Yarumal","Yarumal"
218,"05890","municipality","Yolombó",1.0,"Yolombó","Yolombó","Yolombó"
219,"05893","municipality","Yondó",1.0,"Yondó","Yondó","Yondó"
220,"05895","municipality","Zaragoza",1.0,"Zaragoza","Zaragoza","Zaragoza"
221,"08001","municipality","Barranquilla",2.0,"Barranquilla","Barranquilla","Barranquilla"
222,"08078","municipality","Baranoa",2.0,"Baranoa","Baranoa","Baranoa"
223,"08137","municipality","Campo De La Cruz",2.0,"Campo De La Cruz","Campo De La Cruz","Campo De La Cruz"
224,"08141","municipality","Candelaria",2.0,"Candelaria","Candelaria","Candelaria"
225,"08296","municipality","Galapa",2.0,"Galapa","Galapa","Galapa"
226,"08372","municipality","Juan De Acosta",2.0,"Juan De Acosta","Juan De Acosta","Juan De Acosta"
227,"08421","municipality","Luruaco",2.0,"Luruaco","Luruaco","Luruaco"
228,"08433","municipality","Malambo",2.0,"Malambo","Malambo","Malambo"
229,"08436","municipality","Manatí",2.0,"Manatí","Manatí","Manatí"
230,"08520","municipality","Palmar De Varela",2.0,"Palmar De Varela","Palmar De Varela","Palmar De Varela"
231,"08549","municipality","Piojó",2.0,"Piojó","Piojó","Piojó"
232,"08558","municipality","Polonuevo",2.0,"Polonuevo","Polonuevo","Polonuevo"
233,"08560","municipality","Ponedera",2.0,"Ponedera","Ponedera","Ponedera"
234,"08573","municipality","Puerto Colombia",2.0,"Puerto Colombia","Puerto Colombia","Puerto Colombia"
235,"08606","municipality","Repelón",2.0,"Repelón","Repelón","Repelón"
236,"08634","municipality","Sabanagrande",2.0,"Sabanagrande","Sabanagrande","Sabanagrande"
237,"08638","municipality","Sabanalarga",2.0,"Sabanalarga","Sabanalarga","Sabanalarga"
238,"08675","municipality","Santa Lucía",2.0,"Santa Lucía","Santa Lucía","Santa Lucía"
239,"08685","municipality","Santo Tomás",2.0,"Santo Tomás","Santo Tomás","Santo Tomás"
240,"08758","municipality","Soledad",2.0,"Soledad","Soledad","Soledad"
241,"08770","municipality","Suan",2.0,"Suan","Suan","Suan"
