code	level	name_en	name_short_en	name_es	name_short_es	Unnamed: 6
POMPON Y CRISANTEMO	level3	Pompon and Chrysanthemum	Pompon Y Crisantemo	Pompon Y Crisantemo	Pompon Y Crisantemo	
ROSA	level3	Rose	Rose	Rosa	Rosa	
FLORES Y FOLLAJES	level3	Flowers and Foliage	Flowers and Foliage	Flores Y Follajes	Flores Y Follajes	
ASPARRAGUS	level3	Asparragus	Asparragus	Espárrago	Espárrago	
CORDELINE CINTA	level3	Cordelyne	Cordelyne	Cordeline Cinta	Cordeline Cinta	
EUCALIPTO BABY BLUE	level3	Eucalyptus Baby Blue	Eucalyptus Baby Blue	Eucalipto Baby Blue	Eucalipto Baby Blue	
FITOSPORUM	level3	Fitosporum	Fitosporum	Fitosporum	Fitosporum	
HELECHO	level3	Fern	Fern	Helecho	Helecho	
HELECHO CUERO	level3	Cuero Fern	Cuero Fern	Helecho Cuero	Helecho Cuero	
PALMA ROBELINA	level3	Robelina Palm	Robelina Palm	Palma Robelina	Palma Robelina	
TREE FERN	level3	Tree Fern	Tree Fern	Helecho de árbol	Helecho de árbol	
FRAMBUESA	level3	Raspberry	Raspberry	Frambuesa	Frambuesa	
FRESA	level3	Strawberry	Strawberry	Fresa	Fresa	
AGRAZ	level3	Sour Grape	Sour Grape	Agraz	Agraz	
AGUAJE	level3	Aguaje	Aguaje	Aguaje	Aguaje	
ARAZA	level3	Araza	Araza	Araza	Araza	
ASAI	level3	Açaí	Açaí	Asai	Asai	
BACURI	level3	Bacuri	Bacuri	Bacuri	Bacuri	
BADEA	level3	Badea	Badea	Badea	Badea	
BOROJO	level3	Borojo	Borojo	Borojo	Borojo	
CAIMO	level3	Caimo	Caimo	Caimo	Caimo	
CHAMBA	level3	Chamba	Chamba	Chamba	Chamba	
CHIRIMOYA	level3	Chirimoya	Chirimoya	Chirimoya	Chirimoya	
CHOLUPA	level3	Cholupa	Cholupa	Cholupa	Cholupa	
CHONTADURO	level3	Chontaduro	Chontaduro	Chontaduro	Chontaduro	
COCONA	level3	Cocona	Cocona	Cocona	Cocona	
COPOAZU	level3	Copoaçu	Copoaçu	Copoazu	Copoazu	
COROZO	level3	Corozo Palm	Corozo Palm	Corozo	Corozo	
DATIL	level3	Date	Date	Datil	Datil	
GUAMA	level3	Ice-cream bean	Ice-cream bean	Guama	Guama	
GULUPA	level3	Gulupa	Gulupa	Gulupa	Gulupa	
HIGO	level3	Fig	Fig	Higo	Higo	
MAMONCILLO	level3	Spanish lime	Spanish lime	Mamoncillo	Mamoncillo	
MANGOSTINO	level3	Mangosteen	Mangosteen	Mangostino	Mangostino	
