"","code","name","level","parent_id"
179,"2424","Especialistas en seguridad e higiene y salud pública","4digit",175.0
180,"2425","Especialistas en medicina tradicional y alternativa","4digit",175.0
181,"2426","Enfermeras especialistas","4digit",175.0
182,"2427","Fisioterapeutas, audiólogos y logopedas","4digit",175.0
183,"2428","Farmacólogos","4digit",175.0
184,"25","Auxiliares y técnicos en ciencias económico-administrativas, ciencias sociales, humanistas y en artes","2digit",83.0
185,"251","Auxiliares en administración, contabilidad y finanzas","3digit",184.0
186,"2511","Auxiliares en administración, mercadotecnia, comercialización y comercio exterior","4digit",185.0
187,"2512","Auxiliares en contabilidad, economía, finanzas y agentes de bolsa","4digit",185.0
188,"2513","Tramitadores aduanales","4digit",185.0
189,"2514","Valuadores, subastadores y rematadores","4digit",185.0
190,"252","Inspectores públicos","3digit",184.0
191,"2521","Oficiales del ministerio público y detectives","4digit",190.0
192,"2522","Agentes aduanales y fronterizos","4digit",190.0
193,"2523","Agentes de recaudación tributaria y de licencias","4digit",190.0
194,"2524","Inspectores en seguridad social, de precios y otros inspectores públicos","4digit",190.0
195,"253","Auxiliares en ciencias sociales y humanistas","3digit",184.0
196,"2531","Auxiliares en ciencias sociales y humanistas","4digit",195.0
197,"2532","Auxiliares en servicios jurídicos","4digit",195.0
198,"2533","Monjas y predicadores","4digit",195.0
199,"254","Diseñadores de modas, industriales, gráficos y decoradores de interiores","3digit",184.0
200,"2541","Diseñadores de moda y vestuario","4digit",199.0
201,"2542","Diseñadores industriales","4digit",199.0
202,"2543","Diseñadores gráficos","4digit",199.0
203,"2544","Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)","4digit",199.0
204,"255","Locutores, animadores y payasos","3digit",184.0
205,"2551","Locutores de radio, televisión y otros medios de comunicación","4digit",204.0
206,"2552","Animadores y organizadores de eventos","4digit",204.0
207,"2553","Payasos, mimos y cirqueros","4digit",204.0
208,"256","Deportistas, entrenadores y árbitros","3digit",184.0
209,"2561","Deportistas","4digit",208.0
